#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  3.5024158290e+14  3.6156242301e+13
  9.5811339400e-01  3.5139267475e+14  3.6460667497e+13
  9.6382778800e-01  3.5252776962e+14  3.6767450249e+13
  9.6954218200e-01  3.5364716297e+14  3.7076649966e+13
  9.7525657600e-01  3.5475115781e+14  3.7388337247e+13
  9.8097097000e-01  3.5584005283e+14  3.7702594881e+13
  9.8668536400e-01  3.5691413202e+14  3.8019517108e+13
  9.9239975800e-01  3.5797365772e+14  3.8339207252e+13
  9.9811415200e-01  3.5901886837e+14  3.8661774133e+13
  1.0038285460e+00  3.6004998157e+14  3.8987327852e+13
  1.0095429400e+00  3.6106720208e+14  3.9315975688e+13
  1.0152573340e+00  3.6207073369e+14  3.9647818807e+13
  1.0209717280e+00  3.6306079286e+14  3.9982950375e+13
  1.0266861220e+00  3.6403762223e+14  4.0321455432e+13
  1.0324005160e+00  3.6500150147e+14  4.0663412580e+13
  1.0381149100e+00  3.6595275386e+14  4.1008897251e+13
  1.0438293040e+00  3.6689174735e+14  4.1357986033e+13
  1.0495436980e+00  3.6781889000e+14  4.1710761358e+13
  1.0552580920e+00  3.6873462045e+14  4.2067315782e+13
  1.0609724860e+00  3.6963939519e+14  4.2427755149e+13
  1.0666868800e+00  3.7053367474e+14  4.2792200125e+13
  1.0724012740e+00  3.7141791138e+14  4.3160785824e+13
  1.0781156680e+00  3.7229254050e+14  4.3533659624e+13
  1.0838300620e+00  3.7315797754e+14  4.3910977526e+13
  1.0895444560e+00  3.7401462108e+14  4.4292899700e+13
  1.0952588500e+00  3.7486286203e+14  4.4679585994e+13
  1.1009732440e+00  3.7570309765e+14  4.5071192200e+13
  1.1066876380e+00  3.7653574814e+14  4.5467867767e+13
  1.1124020320e+00  3.7736127340e+14  4.5869755392e+13
  1.1181164260e+00  3.7818018724e+14  4.6276992647e+13
  1.1238308200e+00  3.7899306665e+14  4.6689715418e+13
  1.1295452140e+00  3.7980055486e+14  4.7108062660e+13
  1.1352596080e+00  3.8060335756e+14  4.7532181720e+13
  1.1409740020e+00  3.8140223324e+14  4.7962233399e+13
  1.1466883960e+00  3.8219797924e+14  4.8398395933e+13
  1.1524027900e+00  3.8299141625e+14  4.8840867284e+13
  1.1581171840e+00  3.8378337407e+14  4.9289865376e+13
  1.1638315780e+00  3.8457468153e+14  4.9745626287e+13
  1.1695459720e+00  3.8536616256e+14  5.0208400751e+13
  1.1752603660e+00  3.8615863983e+14  5.0678449599e+13
  1.1809747600e+00  3.8695294557e+14  5.1156039005e+13
  1.1866891540e+00  3.8774993860e+14  5.1641436400e+13
  1.1924035480e+00  3.8855052494e+14  5.2134907872e+13
  1.1981179420e+00  3.8935567916e+14  5.2636717588e+13
  1.2038323360e+00  3.9016646321e+14  5.3147129495e+13
  1.2095467300e+00  3.9098403998e+14  5.3666411130e+13
  1.2152611240e+00  3.9180967964e+14  5.4194839063e+13
  1.2209755180e+00  3.9264475807e+14  5.4732705186e+13
  1.2266899120e+00  3.9349074801e+14  5.5280322938e+13
  1.2324043060e+00  3.9434920494e+14  5.5838032544e+13
  1.2381187000e+00  3.9522175064e+14  5.6406204525e+13
  1.2438330940e+00  3.9611005775e+14  5.6985241018e+13
  1.2495474880e+00  3.9701583892e+14  5.7575574809e+13
  1.2552618820e+00  3.9794084315e+14  5.8177666413e+13
  1.2609762760e+00  3.9888686090e+14  5.8791999828e+13
  1.2666906700e+00  3.9985573826e+14  5.9419077897e+13
  1.2724050640e+00  4.0084939876e+14  6.0059418257e+13
  1.2781194580e+00  4.0186987029e+14  6.0713550805e+13
  1.2838338520e+00  4.0291931357e+14  6.1382017387e+13
  1.2895482460e+00  4.0400004852e+14  6.2065374058e+13
  1.2952626400e+00  4.0511457490e+14  6.2764195848e+13
  1.3009770340e+00  4.0626558491e+14  6.3479083568e+13
  1.3066914280e+00  4.0745596659e+14  6.4210671860e+13
  1.3124058220e+00  4.0868879859e+14  6.4959637469e+13
  1.3181202160e+00  4.0996733834e+14  6.5726706724e+13
  1.3238346100e+00  4.1129500710e+14  6.6512661310e+13
  1.3295490040e+00  4.1267537589e+14  6.7318341747e+13
  1.3352633980e+00  4.1411215641e+14  6.8144648377e+13
  1.3409777920e+00  4.1560920048e+14  6.8992540113e+13
  1.3466921860e+00  4.1717051005e+14  6.9863031615e+13
  1.3524065800e+00  4.1880025848e+14  7.0757189874e+13
  1.3581209740e+00  4.2050282160e+14  7.1676131319e+13
  1.3638353680e+00  4.2228281597e+14  7.2621020546e+13
  1.3695497620e+00  4.2414513998e+14  7.3593071549e+13
  1.3752641560e+00  4.2609501364e+14  7.4593551944e+13
  1.3809785500e+00  4.2813801251e+14  7.5623790269e+13
  1.3866929440e+00  4.3028009294e+14  7.6685185912e+13
  1.3924073380e+00  4.3252760668e+14  7.7779220863e+13
  1.3981217320e+00  4.3488730546e+14  7.8907472203e+13
