#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  2.0641530774e+14  3.0419578066e+13
  9.5811339400e-01  2.0846925755e+14  3.0737073490e+13
  9.6382778800e-01  2.1055156958e+14  3.1058626425e+13
  9.6954218200e-01  2.1266316491e+14  3.1384322444e+13
  9.7525657600e-01  2.1480498656e+14  3.1714288511e+13
  9.8097097000e-01  2.1697798823e+14  3.2048694499e+13
  9.8668536400e-01  2.1918312444e+14  3.2387748071e+13
  9.9239975800e-01  2.2142134390e+14  3.2731683741e+13
  9.9811415200e-01  2.2369358739e+14  3.3080747950e+13
  1.0038285460e+00  2.2600079068e+14  3.3435182677e+13
  1.0095429400e+00  2.2834389232e+14  3.3795210406e+13
  1.0152573340e+00  2.3072384501e+14  3.4161023029e+13
  1.0209717280e+00  2.3314162894e+14  3.4532776684e+13
  1.0266861220e+00  2.3559826481e+14  3.4910593484e+13
  1.0324005160e+00  2.3809482451e+14  3.5294569954e+13
  1.0381149100e+00  2.4063243766e+14  3.5684790857e+13
  1.0438293040e+00  2.4321229283e+14  3.6081346128e+13
  1.0495436980e+00  2.4583563335e+14  3.6484348125e+13
  1.0552580920e+00  2.4850374829e+14  3.6893946266e+13
  1.0609724860e+00  2.5121796031e+14  3.7310336587e+13
  1.0666868800e+00  2.5397961239e+14  3.7733764567e+13
  1.0724012740e+00  2.5679005596e+14  3.8164520696e+13
  1.0781156680e+00  2.5965064249e+14  3.8602929508e+13
  1.0838300620e+00  2.6256272028e+14  3.9049333909e+13
  1.0895444560e+00  2.6552763723e+14  3.9504077479e+13
  1.0952588500e+00  2.6854674945e+14  3.9967487764e+13
  1.1009732440e+00  2.7162143436e+14  4.0439863497e+13
  1.1066876380e+00  2.7475310645e+14  4.0921467999e+13
  1.1124020320e+00  2.7794323314e+14  4.1412530033e+13
  1.1181164260e+00  2.8119334810e+14  4.1913252098e+13
  1.1238308200e+00  2.8450506001e+14  4.2423824905e+13
  1.1295452140e+00  2.8788005511e+14  4.2944445701e+13
  1.1352596080e+00  2.9132009339e+14  4.3475337435e+13
  1.1409740020e+00  2.9482699878e+14  4.4016765568e+13
  1.1466883960e+00  2.9840264538e+14  4.4569049713e+13
  1.1524027900e+00  3.0204894193e+14  4.5132568128e+13
  1.1581171840e+00  3.0576781749e+14  4.5707754282e+13
  1.1638315780e+00  3.0956121089e+14  4.6295086065e+13
  1.1695459720e+00  3.1343106603e+14  4.6895069465e+13
  1.1752603660e+00  3.1737933434e+14  4.7508219519e+13
  1.1809747600e+00  3.2140798399e+14  4.8135041828e+13
  1.1866891540e+00  3.2551901500e+14  4.8776017896e+13
  1.1924035480e+00  3.2971447768e+14  4.9431596926e+13
  1.1981179420e+00  3.3399649169e+14  5.0102195659e+13
  1.2038323360e+00  3.3836726263e+14  5.0788206497e+13
  1.2095467300e+00  3.4282909347e+14  5.1490012729e+13
  1.2152611240e+00  3.4738438887e+14  5.2208008481e+13
  1.2209755180e+00  3.5203565188e+14  5.2942620168e+13
  1.2266899120e+00  3.5678547341e+14  5.3694325939e+13
  1.2324043060e+00  3.6163651658e+14  5.4463669900e+13
  1.2381187000e+00  3.6659149842e+14  5.5251268763e+13
  1.2438330940e+00  3.7165317259e+14  5.6057809817e+13
  1.2495474880e+00  3.7682431598e+14  5.6884040616e+13
  1.2552618820e+00  3.8210772208e+14  5.7730752155e+13
  1.2609762760e+00  3.8750620239e+14  5.8598758502e+13
  1.2666906700e+00  3.9302259632e+14  5.9488876443e+13
  1.2724050640e+00  3.9865978800e+14  6.0401908807e+13
  1.2781194580e+00  4.0442072769e+14  6.1338634525e+13
  1.2838338520e+00  4.1030845449e+14  6.2299807405e+13
  1.2895482460e+00  4.1632611643e+14  6.3286164147e+13
  1.2952626400e+00  4.2247698500e+14  6.4298440557e+13
