#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  3.3609634060e+20  2.0400716848e+19
  9.5811339400e-01  3.3735714717e+20  2.0691169294e+19
  9.6382778800e-01  3.3860578377e+20  2.0986021083e+19
  9.6954218200e-01  3.3984243798e+20  2.1285367464e+19
  9.7525657600e-01  3.4106729800e+20  2.1589305994e+19
  9.8097097000e-01  3.4228055272e+20  2.1897936594e+19
  9.8668536400e-01  3.4348239163e+20  2.2211361627e+19
  9.9239975800e-01  3.4467300492e+20  2.2529685960e+19
  9.9811415200e-01  3.4585258343e+20  2.2853017042e+19
  1.0038285460e+00  3.4702131870e+20  2.3181464976e+19
  1.0095429400e+00  3.4817940296e+20  2.3515142599e+19
  1.0152573340e+00  3.4932702918e+20  2.3854165561e+19
  1.0209717280e+00  3.5046439111e+20  2.4198652408e+19
  1.0266861220e+00  3.5159168324e+20  2.4548724667e+19
  1.0324005160e+00  3.5270910094e+20  2.4904506939e+19
  1.0381149100e+00  3.5381684038e+20  2.5266126982e+19
  1.0438293040e+00  3.5491509867e+20  2.5633715817e+19
  1.0495436980e+00  3.5600407382e+20  2.6007407816e+19
  1.0552580920e+00  3.5708396487e+20  2.6387340810e+19
  1.0609724860e+00  3.5815497185e+20  2.6773656192e+19
  1.0666868800e+00  3.5921729591e+20  2.7166499024e+19
  1.0724012740e+00  3.6027113932e+20  2.7566018152e+19
  1.0781156680e+00  3.6131670557e+20  2.7972366320e+19
  1.0838300620e+00  3.6235419940e+20  2.8385700292e+19
  1.0895444560e+00  3.6338382690e+20  2.8806180975e+19
  1.0952588500e+00  3.6440579553e+20  2.9233973549e+19
  1.1009732440e+00  3.6542031426e+20  2.9669247599e+19
  1.1066876380e+00  3.6642759359e+20  3.0112177253e+19
  1.1124020320e+00  3.6742784563e+20  3.0562941328e+19
  1.1181164260e+00  3.6842128423e+20  3.1021723471e+19
  1.1238308200e+00  3.6940812505e+20  3.1488712319e+19
  1.1295452140e+00  3.7038858559e+20  3.1964101655e+19
