#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  4.4490886331e+20  2.0400716848e+19
  9.5811339400e-01  4.4634803561e+20  2.0691169294e+19
  9.6382778800e-01  4.4776537768e+20  2.0986021083e+19
  9.6954218200e-01  4.4916104261e+20  2.1285367464e+19
  9.7525657600e-01  4.5053518217e+20  2.1589305994e+19
  9.8097097000e-01  4.5188794712e+20  2.1897936594e+19
  9.8668536400e-01  4.5321948712e+20  2.2211361627e+19
  9.9239975800e-01  4.5452995042e+20  2.2529685960e+19
  9.9811415200e-01  4.5581948338e+20  2.2853017042e+19
  1.0038285460e+00  4.5708823012e+20  2.3181464976e+19
  1.0095429400e+00  4.5833633254e+20  2.3515142599e+19
  1.0152573340e+00  4.5956393070e+20  2.3854165561e+19
  1.0209717280e+00  4.6077116314e+20  2.4198652408e+19
  1.0266861220e+00  4.6195816711e+20  2.4548724667e+19
  1.0324005160e+00  4.6312507836e+20  2.4904506939e+19
  1.0381149100e+00  4.6427203069e+20  2.5266126982e+19
  1.0438293040e+00  4.6539915554e+20  2.5633715817e+19
  1.0495436980e+00  4.6650658178e+20  2.6007407816e+19
  1.0552580920e+00  4.6759443600e+20  2.6387340810e+19
  1.0609724860e+00  4.6866284285e+20  2.6773656192e+19
  1.0666868800e+00  4.6971192550e+20  2.7166499024e+19
  1.0724012740e+00  4.7074180555e+20  2.7566018152e+19
  1.0781156680e+00  4.7175260278e+20  2.7972366320e+19
  1.0838300620e+00  4.7274443458e+20  2.8385700292e+19
  1.0895444560e+00  4.7371741569e+20  2.8806180975e+19
  1.0952588500e+00  4.7467165821e+20  2.9233973549e+19
  1.1009732440e+00  4.7560727198e+20  2.9669247599e+19
  1.1066876380e+00  4.7652436508e+20  3.0112177253e+19
  1.1124020320e+00  4.7742304401e+20  3.0562941328e+19
  1.1181164260e+00  4.7830341355e+20  3.1021723471e+19
  1.1238308200e+00  4.7916557630e+20  3.1488712319e+19
  1.1295452140e+00  4.8000963223e+20  3.1964101655e+19
  1.1352596080e+00  4.8083567849e+20  3.2448090570e+19
  1.1409740020e+00  4.8164380970e+20  3.2940883634e+19
  1.1466883960e+00  4.8243411841e+20  3.3442691075e+19
  1.1524027900e+00  4.8320669556e+20  3.3953728957e+19
  1.1581171840e+00  4.8396163047e+20  3.4474219370e+19
  1.1638315780e+00  4.8469901052e+20  3.5004390627e+19
  1.1695459720e+00  4.8541892066e+20  3.5544477466e+19
  1.1752603660e+00  4.8612144302e+20  3.6094721258e+19
  1.1809747600e+00  4.8680665700e+20  3.6655370226e+19
  1.1866891540e+00  4.8747463966e+20  3.7226679672e+19
  1.1924035480e+00  4.8812546629e+20  3.7808912206e+19
  1.1981179420e+00  4.8875921066e+20  3.8402337994e+19
  1.2038323360e+00  4.8937594488e+20  3.9007235002e+19
  1.2095467300e+00  4.8997573890e+20  3.9623889261e+19
  1.2152611240e+00  4.9055866002e+20  4.0252595135e+19
  1.2209755180e+00  4.9112477276e+20  4.0893655601e+19
  1.2266899120e+00  4.9167413908e+20  4.1547382536e+19
  1.2324043060e+00  4.9220681895e+20  4.2214097020e+19
  1.2381187000e+00  4.9272287086e+20  4.2894129646e+19
  1.2438330940e+00  4.9322235186e+20  4.3587820841e+19
