  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  20.000     0.000    0.000     2.020   2.128   3.130  1.5574138978e-01
  20.000     0.000    0.000     2.222   2.341   3.130  1.8454196052e-01
  20.000     0.000    0.000     2.424   2.554   3.130  2.1796680930e-01
  20.000     0.000    0.000     2.626   2.767   3.130  2.4975409639e-01
  20.000     0.000    0.000     2.828   2.980   3.130  2.8034048135e-01
  20.000     0.000    0.000     3.030   3.193   3.130  3.0862044675e-01
  20.000     0.000    0.000     3.232   3.406   3.130  3.1427963843e-01
  20.000     0.000    0.000     3.434   3.618   3.130  2.9888012823e-01
  20.000     0.000    0.000     3.636   3.831   3.130  2.6891967412e-01
  20.000     0.000    0.000     3.838   4.044   3.130  2.3119272465e-01
  20.000     0.000    0.000     4.040   4.257   3.130  1.9143797336e-01
  20.000     0.000    0.000     4.242   4.470   3.130  1.5383758480e-01
  20.000     0.000    0.000     4.444   4.683   3.130  1.3340149270e-01
  20.000     0.000    0.000     4.646   4.895   3.130  1.1629336729e-01
  20.000     0.000    0.000     4.848   5.108   3.130  1.0095630385e-01
  20.000     0.000    0.000     5.050   5.321   3.130  8.7519212019e-02
  20.000     0.000    0.000     5.252   5.534   3.130  7.5985821445e-02
  20.000     0.000    0.000     5.454   5.747   3.130  6.6280185730e-02
  20.000     0.000    0.000     5.656   5.960   3.130  5.8274295470e-02
  20.000     0.000    0.000     5.858   6.172   3.130  5.1807326956e-02
  22.000     0.000    0.000     2.020   2.128   3.130  1.0669730075e-01
  22.000     0.000    0.000     2.222   2.341   3.130  1.4552725796e-01
  22.000     0.000    0.000     2.424   2.554   3.130  1.8343531358e-01
  22.000     0.000    0.000     2.626   2.767   3.130  2.1789667520e-01
  22.000     0.000    0.000     2.828   2.980   3.130  2.4485417222e-01
  22.000     0.000    0.000     3.030   3.193   3.130  2.6775900305e-01
  22.000     0.000    0.000     3.232   3.406   3.130  2.7099283506e-01
  22.000     0.000    0.000     3.434   3.618   3.130  2.4526802181e-01
  22.000     0.000    0.000     3.636   3.831   3.130  2.0838709039e-01
  22.000     0.000    0.000     3.838   4.044   3.130  1.7669367617e-01
  22.000     0.000    0.000     4.040   4.257   3.130  1.4457059415e-01
  22.000     0.000    0.000     4.242   4.470   3.130  1.1478918050e-01
  22.000     0.000    0.000     4.444   4.683   3.130  8.8995854378e-02
  22.000     0.000    0.000     4.646   4.895   3.130  6.9854826206e-02
  22.000     0.000    0.000     4.848   5.108   3.130  6.0335642513e-02
  22.000     0.000    0.000     5.050   5.321   3.130  5.1992510715e-02
  22.000     0.000    0.000     5.252   5.534   3.130  4.4822687078e-02
  22.000     0.000    0.000     5.454   5.747   3.130  3.8779011076e-02
  22.000     0.000    0.000     5.656   5.960   3.130  3.3776908717e-02
  22.000     0.000    0.000     5.858   6.172   3.130  2.9723461110e-02
  24.000     0.000    0.000     2.020   2.128   3.130  7.7574020540e-02
  24.000     0.000    0.000     2.222   2.341   3.130  1.0660728292e-01
  24.000     0.000    0.000     2.424   2.554   3.130  1.3507313854e-01
  24.000     0.000    0.000     2.626   2.767   3.130  1.8176984329e-01
  24.000     0.000    0.000     2.828   2.980   3.130  2.1888386707e-01
  24.000     0.000    0.000     3.030   3.193   3.130  2.3922756778e-01
  24.000     0.000    0.000     3.232   3.406   3.130  2.3753111642e-01
  24.000     0.000    0.000     3.434   3.618   3.130  2.0899100417e-01
  24.000     0.000    0.000     3.636   3.831   3.130  1.7009552915e-01
  24.000     0.000    0.000     3.838   4.044   3.130  1.2783258130e-01
  24.000     0.000    0.000     4.040   4.257   3.130  9.9897198996e-02
  24.000     0.000    0.000     4.242   4.470   3.130  7.9058486894e-02
  24.000     0.000    0.000     4.444   4.683   3.130  6.1016521093e-02
  24.000     0.000    0.000     4.646   4.895   3.130  4.6228549761e-02
  24.000     0.000    0.000     4.848   5.108   3.130  3.7156235163e-02
  24.000     0.000    0.000     5.050   5.321   3.130  3.1920935885e-02
  24.000     0.000    0.000     5.252   5.534   3.130  2.7410591499e-02
  24.000     0.000    0.000     5.454   5.747   3.130  2.3599737113e-02
  24.000     0.000    0.000     5.656   5.960   3.130  2.0438231271e-02
  24.000     0.000    0.000     5.858   6.172   3.130  1.7868139461e-02
  26.000     0.000    0.000     2.020   2.128   3.130  5.3116690420e-02
  26.000     0.000    0.000     2.222   2.341   3.130  7.3236059331e-02
  26.000     0.000    0.000     2.424   2.554   3.130  1.0337272888e-01
  26.000     0.000    0.000     2.626   2.767   3.130  1.3984146956e-01
  26.000     0.000    0.000     2.828   2.980   3.130  1.8753779194e-01
  26.000     0.000    0.000     3.030   3.193   3.130  2.1376231848e-01
  26.000     0.000    0.000     3.232   3.406   3.130  2.0801409714e-01
  26.000     0.000    0.000     3.434   3.618   3.130  1.7344174431e-01
  26.000     0.000    0.000     3.636   3.831   3.130  1.2714620495e-01
  26.000     0.000    0.000     3.838   4.044   3.130  9.5648189962e-02
  26.000     0.000    0.000     4.040   4.257   3.130  6.7739903435e-02
  26.000     0.000    0.000     4.242   4.470   3.130  5.3604750847e-02
  26.000     0.000    0.000     4.444   4.683   3.130  4.1323748919e-02
  26.000     0.000    0.000     4.646   4.895   3.130  3.1212702437e-02
  26.000     0.000    0.000     4.848   5.108   3.130  2.3673452285e-02
  26.000     0.000    0.000     5.050   5.321   3.130  2.0299231604e-02
  26.000     0.000    0.000     5.252   5.534   3.130  1.7383548984e-02
  26.000     0.000    0.000     5.454   5.747   3.130  1.4912483294e-02
  26.000     0.000    0.000     5.656   5.960   3.130  1.2858524186e-02
  26.000     0.000    0.000     5.858   6.172   3.130  1.1185892798e-02
  28.000     0.000    0.000     2.020   2.128   3.130  3.5537240250e-02
  28.000     0.000    0.000     2.222   2.341   3.130  4.9161942064e-02
  28.000     0.000    0.000     2.424   2.554   3.130  7.4313678271e-02
  28.000     0.000    0.000     2.626   2.767   3.130  1.0942768986e-01
  28.000     0.000    0.000     2.828   2.980   3.130  1.5537074370e-01
  28.000     0.000    0.000     3.030   3.193   3.130  1.8938043153e-01
  28.000     0.000    0.000     3.232   3.406   3.130  1.7958381132e-01
  28.000     0.000    0.000     3.434   3.618   3.130  1.3801447418e-01
  28.000     0.000    0.000     3.636   3.831   3.130  9.7488235322e-02
  28.000     0.000    0.000     3.838   4.044   3.130  6.8883980149e-02
  28.000     0.000    0.000     4.040   4.257   3.130  4.8344249262e-02
  28.000     0.000    0.000     4.242   4.470   3.130  3.6655844676e-02
  28.000     0.000    0.000     4.444   4.683   3.130  2.8268528036e-02
  28.000     0.000    0.000     4.646   4.895   3.130  2.1323029638e-02
  28.000     0.000    0.000     4.848   5.108   3.130  1.5850159401e-02
  28.000     0.000    0.000     5.050   5.321   3.130  1.3349368184e-02
  28.000     0.000    0.000     5.252   5.534   3.130  1.1405649466e-02
  28.000     0.000    0.000     5.454   5.747   3.130  9.7536344170e-03
  28.000     0.000    0.000     5.656   5.960   3.130  8.3771722818e-03
  28.000     0.000    0.000     5.858   6.172   3.130  7.2544111386e-03
  30.000     0.000    0.000     2.020   2.128   3.130  2.3666877330e-02
  30.000     0.000    0.000     2.222   2.341   3.130  3.2894446236e-02
  30.000     0.000    0.000     2.424   2.554   3.130  5.2018557685e-02
  30.000     0.000    0.000     2.626   2.767   3.130  8.0952814573e-02
  30.000     0.000    0.000     2.828   2.980   3.130  1.2480144946e-01
