  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)

  47.000     0.000    0.000     2.020   2.128   3.130  8.8720862795e-04
  47.000     0.000    0.000     2.060   2.171   3.130  9.8046823964e-04
  47.000     0.000    0.000     2.101   2.214   3.130  1.0803194491e-03
  47.000     0.000    0.000     2.141   2.256   3.130  1.1866374706e-03
  47.000     0.000    0.000     2.181   2.299   3.130  1.3461496697e-03
  47.000     0.000    0.000     2.222   2.341   3.130  1.5354127670e-03
  47.000     0.000    0.000     2.262   2.384   3.130  1.7420614573e-03
  47.000     0.000    0.000     2.303   2.426   3.130  1.9657071373e-03
  47.000     0.000    0.000     2.343   2.469   3.130  2.2056650995e-03
  47.000     0.000    0.000     2.383   2.512   3.130  2.4609524716e-03
  47.000     0.000    0.000     2.424   2.554   3.130  2.8555822516e-03
  47.000     0.000    0.000     2.464   2.597   3.130  3.2876205638e-03
  47.000     0.000    0.000     2.505   2.639   3.130  3.7508265972e-03
  47.000     0.000    0.000     2.545   2.682   3.130  4.2981232395e-03
  47.000     0.000    0.000     2.585   2.724   3.130  5.0283153126e-03
  47.000     0.000    0.000     2.626   2.767   3.130  5.8064543470e-03
  47.000     0.000    0.000     2.666   2.810   3.130  6.8316437577e-03
  47.000     0.000    0.000     2.707   2.852   3.130  7.9884183273e-03
  47.000     0.000    0.000     2.747   2.895   3.130  9.4970707880e-03
  47.000     0.000    0.000     2.787   2.937   3.130  1.1273033049e-02
  47.000     0.000    0.000     2.828   2.980   3.130  1.3432011519e-02
  47.000     0.000    0.000     2.868   3.022   3.130  1.6055894262e-02
  47.000     0.000    0.000     2.909   3.065   3.130  1.9159547287e-02
  47.000     0.000    0.000     2.949   3.108   3.130  2.2646624822e-02
  47.000     0.000    0.000     2.989   3.150   3.130  2.6262485339e-02
  47.000     0.000    0.000     3.030   3.193   3.130  2.9565639073e-02
  47.000     0.000    0.000     3.070   3.235   3.130  3.1947478293e-02
  47.000     0.000    0.000     3.111   3.278   3.130  3.2728215659e-02
  47.000     0.000    0.000     3.151   3.320   3.130  3.1556720444e-02
  47.000     0.000    0.000     3.191   3.363   3.130  2.8877607700e-02
  47.000     0.000    0.000     3.232   3.406   3.130  2.5488185318e-02
  47.000     0.000    0.000     3.272   3.448   3.130  2.2186934269e-02
  47.000     0.000    0.000     3.313   3.491   3.130  1.9258226214e-02
  47.000     0.000    0.000     3.353   3.533   3.130  1.6780416264e-02
  47.000     0.000    0.000     3.393   3.576   3.130  1.4746560448e-02
  47.000     0.000    0.000     3.434   3.618   3.130  1.3059932779e-02
  47.000     0.000    0.000     3.474   3.661   3.130  1.1566486680e-02
  47.000     0.000    0.000     3.515   3.703   3.130  1.0434051020e-02
  47.000     0.000    0.000     3.555   3.746   3.130  9.3206819197e-03
  47.000     0.000    0.000     3.595   3.789   3.130  8.5438826117e-03
  47.000     0.000    0.000     3.636   3.831   3.130  7.7613593236e-03
  47.000     0.000    0.000     3.676   3.874   3.130  7.0242378887e-03
  47.000     0.000    0.000     3.717   3.916   3.130  6.5399844932e-03
  47.000     0.000    0.000     3.757   3.959   3.130  6.0537302705e-03
  47.000     0.000    0.000     3.797   4.001   3.130  5.5705376226e-03
  47.000     0.000    0.000     3.838   4.044   3.130  5.0949906527e-03
  47.000     0.000    0.000     3.878   4.087   3.130  4.7349931889e-03
  47.000     0.000    0.000     3.919   4.129   3.130  4.4714923159e-03
  47.000     0.000    0.000     3.959   4.172   3.130  4.2085003465e-03
  47.000     0.000    0.000     3.999   4.214   3.130  3.9476611550e-03
