  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)

  47.000     0.000    0.000     2.020   2.128   2.350  4.3059094335e-04
  47.000     0.000    0.000     2.060   2.171   2.350  5.1119665376e-04
  47.000     0.000    0.000     2.101   2.214   2.350  6.1801941168e-04
  47.000     0.000    0.000     2.141   2.256   2.350  7.3877100221e-04
  47.000     0.000    0.000     2.181   2.299   2.350  8.8427038493e-04
  47.000     0.000    0.000     2.222   2.341   2.350  1.0386362585e-03
  47.000     0.000    0.000     2.262   2.384   2.350  1.2020999503e-03
  47.000     0.000    0.000     2.303   2.426   2.350  1.3524463174e-03
  47.000     0.000    0.000     2.343   2.469   2.350  1.4817769848e-03
  47.000     0.000    0.000     2.383   2.512   2.350  1.5833471248e-03
  47.000     0.000    0.000     2.424   2.554   2.350  1.6521441601e-03
  47.000     0.000    0.000     2.464   2.597   2.350  1.6852660641e-03
  47.000     0.000    0.000     2.505   2.639   2.350  1.6888518084e-03
  47.000     0.000    0.000     2.545   2.682   2.350  1.6878989190e-03
  47.000     0.000    0.000     2.585   2.724   2.350  1.6611787862e-03
  47.000     0.000    0.000     2.626   2.767   2.350  1.6286882064e-03
  47.000     0.000    0.000     2.666   2.810   2.350  1.6044151897e-03
  47.000     0.000    0.000     2.707   2.852   2.350  1.5649309647e-03
  47.000     0.000    0.000     2.747   2.895   2.350  1.5120015305e-03
  47.000     0.000    0.000     2.787   2.937   2.350  1.4811581815e-03
  47.000     0.000    0.000     2.828   2.980   2.350  1.4546393284e-03
  47.000     0.000    0.000     2.868   3.022   2.350  1.4204560713e-03
  47.000     0.000    0.000     2.909   3.065   2.350  1.3795189173e-03
  47.000     0.000    0.000     2.949   3.108   2.350  1.3327696759e-03
  47.000     0.000    0.000     2.989   3.150   2.350  1.2811687828e-03
  47.000     0.000    0.000     3.030   3.193   2.350  1.2522454749e-03
  47.000     0.000    0.000     3.070   3.235   2.350  1.2328449654e-03
  47.000     0.000    0.000     3.111   3.278   2.350  1.2101999782e-03
  47.000     0.000    0.000     3.151   3.320   2.350  1.1846290612e-03
  47.000     0.000    0.000     3.191   3.363   2.350  1.1564568957e-03
  47.000     0.000    0.000     3.232   3.406   2.350  1.1260027839e-03
  47.000     0.000    0.000     3.272   3.448   2.350  1.0935773903e-03
  47.000     0.000    0.000     3.313   3.491   2.350  1.0594836215e-03
  47.000     0.000    0.000     3.353   3.533   2.350  1.0240142224e-03
  47.000     0.000    0.000     3.393   3.576   2.350  9.8744454287e-04
  47.000     0.000    0.000     3.434   3.618   2.350  9.5003652534e-04
  47.000     0.000    0.000     3.474   3.661   2.350  9.1203770346e-04
  47.000     0.000    0.000     3.515   3.703   2.350  8.7367502719e-04
  47.000     0.000    0.000     3.555   3.746   2.350  8.4307983442e-04
  47.000     0.000    0.000     3.595   3.789   2.350  8.2641224609e-04
  47.000     0.000    0.000     3.636   3.831   2.350  8.0894841337e-04
  47.000     0.000    0.000     3.676   3.874   2.350  7.9077389088e-04
  47.000     0.000    0.000     3.717   3.916   2.350  7.7196992346e-04
  47.000     0.000    0.000     3.757   3.959   2.350  7.5261682040e-04
  47.000     0.000    0.000     3.797   4.001   2.350  7.3279395704e-04
  47.000     0.000    0.000     3.838   4.044   2.350  7.1257694044e-04
  47.000     0.000    0.000     3.878   4.087   2.350  6.9203730362e-04
  47.000     0.000    0.000     3.919   4.129   2.350  6.7124513978e-04
  47.000     0.000    0.000     3.959   4.172   2.350  6.5026893978e-04
  47.000     0.000    0.000     3.999   4.214   2.350  6.2917274940e-04
  47.000     0.000    0.000     4.040   4.257   2.350  6.0801636539e-04
  47.000     0.000    0.000     4.080   4.299   2.350  5.8685783446e-04
  47.000     0.000    0.000     4.121   4.342   2.350  5.6575178180e-04
  47.000     0.000    0.000     4.161   4.385   2.350  5.4475214990e-04
  47.000     0.000    0.000     4.201   4.427   2.350  5.2390388464e-04
  47.000     0.000    0.000     4.242   4.470   2.350  5.0325436993e-04
  47.000     0.000    0.000     4.282   4.512   2.350  4.8284561211e-04
  47.000     0.000    0.000     4.323   4.555   2.350  4.6271548588e-04
  47.000     0.000    0.000     4.363   4.597   2.350  4.4289992020e-04
  47.000     0.000    0.000     4.403   4.640   2.350  4.2343261916e-04
  47.000     0.000    0.000     4.444   4.683   2.350  4.0434254477e-04
  47.000     0.000    0.000     4.484   4.725   2.350  3.8565753815e-04
  47.000     0.000    0.000     4.525   4.768   2.350  3.6740089088e-04
  47.000     0.000    0.000     4.565   4.810   2.350  3.4959479468e-04
  47.000     0.000    0.000     4.605   4.853   2.350  3.3225727891e-04
  47.000     0.000    0.000     4.646   4.895   2.350  3.1540454655e-04
  47.000     0.000    0.000     4.686   4.938   2.350  2.9905105164e-04
  47.000     0.000    0.000     4.727   4.981   2.350  2.8320809067e-04
  47.000     0.000    0.000     4.767   5.023   2.350  2.7238523132e-04
  47.000     0.000    0.000     4.807   5.066   2.350  2.6517039628e-04
  47.000     0.000    0.000     4.848   5.108   2.350  2.5805788643e-04
  47.000     0.000    0.000     4.888   5.151   2.350  2.5105350303e-04
  47.000     0.000    0.000     4.928   5.193   2.350  2.4416010107e-04
  47.000     0.000    0.000     4.969   5.236   2.350  2.3738193050e-04
  47.000     0.000    0.000     5.009   5.279   2.350  2.3072219580e-04
  47.000     0.000    0.000     5.050   5.321   2.350  2.2418328542e-04
  47.000     0.000    0.000     5.090   5.364   2.350  2.1776809913e-04
  47.000     0.000    0.000     5.130   5.406   2.350  2.1147877709e-04
  47.000     0.000    0.000     5.171   5.449   2.350  2.0531704331e-04
  47.000     0.000    0.000     5.211   5.491   2.350  1.9928386810e-04
  47.000     0.000    0.000     5.252   5.534   2.350  1.9338085724e-04
  47.000     0.000    0.000     5.292   5.577   2.350  1.8760889583e-04
  47.000     0.000    0.000     5.332   5.619   2.350  1.8196852618e-04
  47.000     0.000    0.000     5.373   5.662   2.350  1.7645966451e-04
  47.000     0.000    0.000     5.413   5.704   2.350  1.7108285495e-04
  47.000     0.000    0.000     5.454   5.747   2.350  1.6583800307e-04
  47.000     0.000    0.000     5.494   5.789   2.350  1.6072473776e-04
  47.000     0.000    0.000     5.534   5.832   2.350  1.5574228370e-04
  47.000     0.000    0.000     5.575   5.875   2.350  1.5089028402e-04
  47.000     0.000    0.000     5.615   5.917   2.350  1.4616790234e-04
  47.000     0.000    0.000     5.656   5.960   2.350  1.4157395720e-04
  47.000     0.000    0.000     5.696   6.002   2.350  1.3710758245e-04
  47.000     0.000    0.000     5.736   6.045   2.350  1.3276758395e-04
  47.000     0.000    0.000     5.777   6.087   2.350  1.2855237968e-04
  47.000     0.000    0.000     5.817   6.130   2.350  1.2446082654e-04
  47.000     0.000    0.000     5.858   6.172   2.350  1.2049146391e-04
  47.000     0.000    0.000     5.898   6.215   2.350  1.1664266825e-04
  47.000     0.000    0.000     5.938   6.258   2.350  1.1291259165e-04
  47.000     0.000    0.000     5.979   6.300   2.350  1.0929976478e-04
  47.000     0.000    0.000     6.019   6.343   2.350  1.0580225543e-04

  47.500     0.000    0.000     2.020   2.128   2.350  4.0223561616e-04
  47.500     0.000    0.000     2.060   2.171   2.350  4.7943432392e-04
  47.500     0.000    0.000     2.101   2.214   2.350  5.7714704455e-04
  47.500     0.000    0.000     2.141   2.256   2.350  6.8974237053e-04
  47.500     0.000    0.000     2.181   2.299   2.350  8.2892232037e-04
  47.500     0.000    0.000     2.222   2.341   2.350  9.7506666193e-04
