#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  5.0548991069e+14  4.1898823196e+13
  9.5811339400e-01  5.0709659082e+14  4.2242308550e+13
  9.6382778800e-01  5.0867867989e+14  4.2589168630e+13
  9.6954218200e-01  5.1023549943e+14  4.2939398005e+13
  9.7525657600e-01  5.1176559488e+14  4.3292833759e+13
  9.8097097000e-01  5.1326696671e+14  4.3649193271e+13
  9.8668536400e-01  5.1473739905e+14  4.4008133692e+13
  9.9239975800e-01  5.1617483052e+14  4.4369323187e+13
  9.9811415200e-01  5.1757770355e+14  4.4732511741e+13
  1.0038285460e+00  5.1894523084e+14  4.5097589225e+13
  1.0095429400e+00  5.2027753125e+14  4.5464620394e+13
  1.0152573340e+00  5.2157560898e+14  4.5833850319e+13
  1.0209717280e+00  5.2284117667e+14  4.6205678795e+13
  1.0266861220e+00  5.2407635026e+14  4.6580607607e+13
  1.0324005160e+00  5.2528326616e+14  4.6959169342e+13
  1.0381149100e+00  5.2646368580e+14  4.7341849786e+13
  1.0438293040e+00  5.2761865577e+14  4.7729017298e+13
  1.0495436980e+00  5.2874828387e+14  4.8120871553e+13
  1.0552580920e+00  5.2985167175e+14  4.8517420953e+13
  1.0609724860e+00  5.3092701906e+14  4.8918493154e+13
  1.0666868800e+00  5.3197188398e+14  4.9323777512e+13
  1.0724012740e+00  5.3298355804e+14  4.9732892690e+13
  1.0781156680e+00  5.3395949216e+14  5.0145468137e+13
  1.0838300620e+00  5.3489770096e+14  5.0561225577e+13
  1.0895444560e+00  5.3579707466e+14  5.0980046329e+13
  1.0952588500e+00  5.3665754259e+14  5.1402012511e+13
  1.1009732440e+00  5.3748005694e+14  5.1827414460e+13
  1.1066876380e+00  5.3826639606e+14  5.2256722425e+13
  1.1124020320e+00  5.3901881768e+14  5.2690526774e+13
  1.1181164260e+00  5.3973961925e+14  5.3129456463e+13
  1.1238308200e+00  5.4043067974e+14  5.3574089545e+13
  1.1295452140e+00  5.4109306183e+14  5.4024871088e+13
  1.1352596080e+00  5.4172674483e+14  5.4482052940e+13
  1.1409740020e+00  5.4233053698e+14  5.4945666254e+13
