#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  4.1105772091e+14  3.6475846595e+13
  9.5811339400e-01  4.1335243580e+14  3.6802567354e+13
  9.6382778800e-01  4.1565517787e+14  3.7132812990e+13
  9.6954218200e-01  4.1796700286e+14  3.7466616260e+13
  9.7525657600e-01  4.2028903652e+14  3.7804009330e+13
  9.8097097000e-01  4.2262245281e+14  3.8145041171e+13
  9.8668536400e-01  4.2496844968e+14  3.8489793368e+13
  9.9239975800e-01  4.2732822669e+14  3.8838391614e+13
  9.9811415200e-01  4.2970296878e+14  3.9191010889e+13
  1.0038285460e+00  4.3209383942e+14  3.9547873305e+13
  1.0095429400e+00  4.3450198503e+14  3.9909238901e+13
  1.0152573340e+00  4.3692855027e+14  4.0275390847e+13
  1.0209717280e+00  4.3937470246e+14  4.0646617533e+13
  1.0266861220e+00  4.4184166115e+14  4.1023194618e+13
  1.0324005160e+00  4.4433072864e+14  4.1405370184e+13
  1.0381149100e+00  4.4684331624e+14  4.1793355681e+13
  1.0438293040e+00  4.4938096248e+14  4.2187324422e+13
  1.0495436980e+00  4.5194534008e+14  4.2587418141e+13
  1.0552580920e+00  4.5453825116e+14  4.2993760731e+13
  1.0609724860e+00  4.5716161149e+14  4.3406477063e+13
  1.0666868800e+00  4.5981742714e+14  4.3825713845e+13
  1.0724012740e+00  4.6250776784e+14  4.4251659083e+13
  1.0781156680e+00  4.6523474249e+14  4.4684556856e+13
  1.0838300620e+00  4.6800048152e+14  4.5124714875e+13
  1.0895444560e+00  4.7080713029e+14  4.5572503469e+13
  1.0952588500e+00  4.7365685550e+14  4.6028346082e+13
  1.1009732440e+00  4.7655186469e+14  4.6492702863e+13
  1.1066876380e+00  4.7949443646e+14  4.6966050104e+13
  1.1124020320e+00  4.8248695743e+14  4.7448859130e+13
  1.1181164260e+00  4.8553196051e+14  4.7941578357e+13
  1.1238308200e+00  4.8863215891e+14  4.8444621842e+13
  1.1295452140e+00  4.9179047098e+14  4.8958366571e+13
  1.1352596080e+00  4.9501003243e+14  4.9483159315e+13
  1.1409740020e+00  4.9829419472e+14  5.0019332268e+13
  1.1466883960e+00  5.0164651083e+14  5.0567225147e+13
  1.1524027900e+00  5.0507071182e+14  5.1127210306e+13
  1.1581171840e+00  5.0857067943e+14  5.1699716817e+13
  1.1638315780e+00  5.1215042076e+14  5.2285249572e+13
  1.1695459720e+00  5.1581405084e+14  5.2884400236e+13
  1.1752603660e+00  5.1956578796e+14  5.3497848222e+13
  1.1809747600e+00  5.2340996429e+14  5.4126351540e+13
  1.1866891540e+00  5.2735105207e+14  5.4770729120e+13
  1.1924035480e+00  5.3139370294e+14  5.5431837719e+13
  1.1981179420e+00  5.3554279567e+14  5.6110547534e+13
  1.2038323360e+00  5.3980348625e+14  5.6807720979e+13
  1.2095467300e+00  5.4418125367e+14  5.7524198660e+13
  1.2152611240e+00  5.4868193560e+14  5.8260795425e+13
  1.2209755180e+00  5.5331174972e+14  5.9018307778e+13
  1.2266899120e+00  5.5807729904e+14  5.9797531972e+13
  1.2324043060e+00  5.6298556235e+14  6.0599290337e+13
  1.2381187000e+00  5.6804387364e+14  6.1424461894e+13
  1.2438330940e+00  5.7325989646e+14  6.2274012535e+13
  1.2495474880e+00  5.7864160009e+14  6.3149020026e+13
  1.2552618820e+00  5.8419724472e+14  6.4050689890e+13
  1.2609762760e+00  5.8993538109e+14  6.4980359715e+13
  1.2666906700e+00  5.9586486815e+14  6.5939491413e+13
  1.2724050640e+00  6.0199490908e+14  6.6929652988e+13
  1.2781194580e+00  6.0833510313e+14  6.7952493276e+13
  1.2838338520e+00  6.1489550788e+14  6.9009714393e+13
  1.2895482460e+00  6.2168670490e+14  7.0103047183e+13
  1.2952626400e+00  6.2871986084e+14  7.1234234560e+13
  1.3009770340e+00  6.3600677692e+14  7.2405026446e+13
  1.3066914280e+00  6.4355992150e+14  7.3617188115e+13
  1.3124058220e+00  6.5139244336e+14  7.4872521523e+13
  1.3181202160e+00  6.5951816651e+14  7.6172896983e+13
  1.3238346100e+00  6.6795157071e+14  7.7520290741e+13
  1.3295490040e+00  6.7670776415e+14  7.8916822887e+13
  1.3352633980e+00  6.8580245646e+14  8.0364789902e+13
  1.3409777920e+00  6.9525194010e+14  8.1866686895e+13
  1.3466921860e+00  7.0507308669e+14  8.3425216284e+13
  1.3524065800e+00  7.1528336242e+14  8.5043281912e+13
  1.3581209740e+00  7.2590086317e+14  8.6723970063e+13
  1.3638353680e+00  7.3694436606e+14  8.8470521137e+13
  1.3695497620e+00  7.4843339123e+14  9.0286297405e+13
  1.3752641560e+00  7.6038826498e+14  9.2174753055e+13
  1.3809785500e+00  7.7283017449e+14  9.4139412474e+13
  1.3866929440e+00  7.8578120498e+14  9.6183861401e+13
  1.3924073380e+00  7.9926435203e+14  9.8311753409e+13
  1.3981217320e+00  8.1330350523e+14  1.0052683158e+14
  1.4038361260e+00  8.2792340291e+14  1.0283296250e+14
  1.4095505200e+00  8.4314956153e+14  1.0523417743e+14
  1.4152649140e+00  8.5900818654e+14  1.0773471408e+14
  1.4209793080e+00  8.7552607309e+14  1.1033905178e+14
  1.4266937020e+00  8.9273050519e+14  1.1305193403e+14
  1.4324080960e+00  9.1064916044e+14  1.1587837376e+14
  1.4381224900e+00  9.2931002439e+14  1.1882363957e+14
  1.4438368840e+00  9.4874131428e+14  1.2189322410e+14
  1.4495512780e+00  9.6897140788e+14  1.2509279828e+14
  1.4552656720e+00  9.9002876854e+14  1.2842815776e+14
  1.4609800660e+00  1.0119418551e+15  1.3190516851e+14
  1.4666944600e+00  1.0347390034e+15  1.3552971873e+14
  1.4724088540e+00  1.0584482672e+15  1.3930768275e+14
  1.4781232480e+00  1.0830972079e+15  1.4324490009e+14
  1.4838376420e+00  1.1087126275e+15  1.4734716978e+14
  1.4895520360e+00  1.1353202424e+15  1.5162025673e+14
  1.4952664300e+00  1.1629443025e+15  1.5606990417e+14
  1.5009808240e+00  1.1916071621e+15  1.6070184402e+14
  1.5066952180e+00  1.2213288137e+15  1.6552179676e+14
  1.5124096120e+00  1.2521263961e+15  1.7053545258e+14
  1.5181240060e+00  1.2840136877e+15  1.7574842836e+14
  1.5238384000e+00  1.3170005922e+15  1.8116619761e+14
  1.5295527940e+00  1.3510926219e+15  1.8679399446e+14
  1.5352671880e+00  1.3862903775e+15  1.9263669647e+14
  1.5409815820e+00  1.4225890217e+15  1.9869869371e+14
  1.5466959760e+00  1.4599777400e+15  2.0498375361e+14
  1.5524103700e+00  1.4984391822e+15  2.1149489128e+14
  1.5581247640e+00  1.5379488803e+15  2.1823425367e+14
  1.5638391580e+00  1.5784746434e+15  2.2520302351e+14
  1.5695535520e+00  1.6199759352e+15  2.3240134548e+14
  1.5752679460e+00  1.6624032482e+15  2.3982827317e+14
  1.5809823400e+00  1.7056974971e+15  2.4748173224e+14
  1.5866967340e+00  1.7497894572e+15  2.5535849266e+14
  1.5924111280e+00  1.7945992830e+15  2.6345414223e+14
  1.5981255220e+00  1.8400361399e+15  2.7176305435e+14
  1.6038399160e+00  1.8859979838e+15  2.8027834544e+14
  1.6095543100e+00  1.9323715170e+15  2.8899182141e+14
  1.6152687040e+00  1.9790323441e+15  2.9789391669e+14
