#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  4.2425977431e+14  5.0939078679e+13
  9.5811339400e-01  4.2712693822e+14  5.1636354245e+13
  9.6382778800e-01  4.3001948903e+14  5.2344072963e+13
  9.6954218200e-01  4.3293881159e+14  5.3062470387e+13
  9.7525657600e-01  4.3588633332e+14  5.3791787798e+13
  9.8097097000e-01  4.3886352581e+14  5.4532272353e+13
  9.8668536400e-01  4.4187190646e+14  5.5284177239e+13
  9.9239975800e-01  4.4491304010e+14  5.6047761838e+13
  9.9811415200e-01  4.4798854080e+14  5.6823291887e+13
  1.0038285460e+00  4.5110007365e+14  5.7611039644e+13
  1.0095429400e+00  4.5424935667e+14  5.8411284061e+13
  1.0152573340e+00  4.5743816271e+14  5.9224310957e+13
  1.0209717280e+00  4.6066832152e+14  6.0050413193e+13
  1.0266861220e+00  4.6394172182e+14  6.0889890856e+13
  1.0324005160e+00  4.6726031348e+14  6.1743051442e+13
  1.0381149100e+00  4.7062610973e+14  6.2610210042e+13
  1.0438293040e+00  4.7404118951e+14  6.3491689536e+13
  1.0495436980e+00  4.7750769990e+14  6.4387820782e+13
  1.0552580920e+00  4.8102785857e+14  6.5298942820e+13
  1.0609724860e+00  4.8460395636e+14  6.6225403066e+13
  1.0666868800e+00  4.8823836001e+14  6.7167557514e+13
  1.0724012740e+00  4.9193351484e+14  6.8125770946e+13
  1.0781156680e+00  4.9569194766e+14  6.9100417132e+13
  1.0838300620e+00  4.9951626970e+14  7.0091879040e+13
  1.0895444560e+00  5.0340917961e+14  7.1100549044e+13
  1.0952588500e+00  5.0737346664e+14  7.2126829129e+13
  1.1009732440e+00  5.1141201383e+14  7.3171131102e+13
  1.1066876380e+00  5.1552780132e+14  7.4233876797e+13
  1.1124020320e+00  5.1972390973e+14  7.5315498278e+13
  1.1181164260e+00  5.2400352372e+14  7.6416438045e+13
  1.1238308200e+00  5.2836993551e+14  7.7537149230e+13
  1.1295452140e+00  5.3282654862e+14  7.8678095794e+13
  1.1352596080e+00  5.3737688159e+14  7.9839752718e+13
  1.1409740020e+00  5.4202457188e+14  8.1022606185e+13
  1.1466883960e+00  5.4677337981e+14  8.2227153756e+13
  1.1524027900e+00  5.5162719262e+14  8.3453904541e+13
  1.1581171840e+00  5.5659002855e+14  8.4703379352e+13
  1.1638315780e+00  5.6166604105e+14  8.5976110848e+13
  1.1695459720e+00  5.6685952305e+14  8.7272643665e+13
