#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  5.9416370626e+14  4.3731977440e+13
  9.5811339400e-01  5.9692147381e+14  4.4110690431e+13
  9.6382778800e-01  5.9966568695e+14  4.4493133288e+13
  9.6954218200e-01  6.0239563336e+14  4.4879094312e+13
  9.7525657600e-01  6.0511053478e+14  4.5268273277e+13
  9.8097097000e-01  6.0780972636e+14  4.5660345970e+13
  9.8668536400e-01  6.1049282185e+14  4.6055034751e+13
  9.9239975800e-01  6.1315983556e+14  4.6452173017e+13
  9.9811415200e-01  6.1581123877e+14  4.6851752204e+13
  1.0038285460e+00  6.1844793902e+14  4.7253942762e+13
  1.0095429400e+00  6.2107118335e+14  4.7659084856e+13
  1.0152573340e+00  6.2368240004e+14  4.8067649709e+13
  1.0209717280e+00  6.2628300434e+14  4.8480177665e+13
  1.0266861220e+00  6.2887420053e+14  4.8897203202e+13
  1.0324005160e+00  6.3145681460e+14  4.9319179671e+13
  1.0381149100e+00  6.3403118710e+14  4.9746416869e+13
  1.0438293040e+00  6.3659714689e+14  5.0179042646e+13
  1.0495436980e+00  6.3915407248e+14  5.0616995813e+13
  1.0552580920e+00  6.4170103337e+14  5.1060052382e+13
  1.0609724860e+00  6.4423698935e+14  5.1507881399e+13
  1.0666868800e+00  6.4676101537e+14  5.1960121408e+13
  1.0724012740e+00  6.4927251378e+14  5.2416464799e+13
  1.0781156680e+00  6.5177137724e+14  5.2876735605e+13
  1.0838300620e+00  6.5425807257e+14  5.3340947116e+13
  1.0895444560e+00  6.5673362870e+14  5.3809328859e+13
  1.0952588500e+00  6.5919952794e+14  5.4282317559e+13
  1.1009732440e+00  6.6165751633e+14  5.4760512841e+13
  1.1066876380e+00  6.6410936351e+14  5.5244604550e+13
  1.1124020320e+00  6.6655661189e+14  5.5735283698e+13
  1.1181164260e+00  6.6900035858e+14  5.6233152169e+13
  1.1238308200e+00  6.7144110870e+14  5.6738646894e+13
  1.1295452140e+00  6.7387872807e+14  5.7251992120e+13
  1.1352596080e+00  6.7631250688e+14  5.7773188820e+13
  1.1409740020e+00  6.7874132729e+14  5.8302044090e+13
  1.1466883960e+00  6.8116390958e+14  5.8838236531e+13
  1.1524027900e+00  6.8357909735e+14  5.9381407225e+13
  1.1581171840e+00  6.8598613412e+14  5.9931261268e+13
  1.1638315780e+00  6.8838488364e+14  6.0487662575e+13
  1.1695459720e+00  6.9077595433e+14  6.1050705443e+13
  1.1752603660e+00  6.9316070369e+14  6.1620749944e+13
  1.1809747600e+00  6.9554111838e+14  6.2198414224e+13
  1.1866891540e+00  6.9791958702e+14  6.2784524030e+13
  1.1924035480e+00  7.0029860203e+14  6.3380027299e+13
  1.1981179420e+00  7.0268044041e+14  6.3985887872e+13
  1.2038323360e+00  7.0506687874e+14  6.4602976402e+13
  1.2095467300e+00  7.0745899389e+14  6.5231977533e+13
  1.2152611240e+00  7.0985708798e+14  6.5873330061e+13
  1.2209755180e+00  7.1226075603e+14  6.6527211575e+13
  1.2266899120e+00  7.1466909112e+14  6.7193571628e+13
  1.2324043060e+00  7.1708099768e+14  6.7872209220e+13
  1.2381187000e+00  7.1949556420e+14  6.8562882568e+13
  1.2438330940e+00  7.2191243458e+14  6.9265433232e+13
  1.2495474880e+00  7.2433211560e+14  6.9979903710e+13
  1.2552618820e+00  7.2675616680e+14  7.0706628189e+13
  1.2609762760e+00  7.2918723775e+14  7.1446280291e+13
  1.2666906700e+00  7.3162894299e+14  7.2199868680e+13
  1.2724050640e+00  7.3408559281e+14  7.2968680258e+13
  1.2781194580e+00  7.3656182430e+14  7.3754179810e+13
  1.2838338520e+00  7.3906219602e+14  7.4557882807e+13
  1.2895482460e+00  7.4159081925e+14  7.5381223305e+13
  1.2952626400e+00  7.4415109532e+14  7.6225440374e+13
  1.3009770340e+00  7.4674561353e+14  7.7091504051e+13
  1.3066914280e+00  7.4937623903e+14  7.7980095582e+13
  1.3124058220e+00  7.5204438841e+14  7.8891647804e+13
  1.3181202160e+00  7.5475145919e+14  7.9826441307e+13
  1.3238346100e+00  7.5749935130e+14  8.0784742240e+13
  1.3295490040e+00  7.6029100113e+14  8.1766960064e+13
  1.3352633980e+00  7.6313084386e+14  8.2773799520e+13
  1.3409777920e+00  7.6602512926e+14  8.3806381385e+13
  1.3466921860e+00  7.6898203974e+14  8.4866311395e+13
  1.3524065800e+00  7.7201159234e+14  8.5955685216e+13
  1.3581209740e+00  7.7512534452e+14  8.7077028271e+13
  1.3638353680e+00  7.7833596000e+14  8.8233180750e+13
  1.3695497620e+00  7.8165671917e+14  8.9427148191e+13
  1.3752641560e+00  7.8510107398e+14  9.0661944952e+13
  1.3809785500e+00  7.8868234560e+14  9.1940460242e+13
  1.3866929440e+00  7.9241364485e+14  9.3265373723e+13
  1.3924073380e+00  7.9630806232e+14  9.4639140204e+13
  1.3981217320e+00  8.0037913226e+14  9.6064051860e+13
  1.4038361260e+00  8.0464152922e+14  9.7542373443e+13
  1.4095505200e+00  8.0911191588e+14  9.9076533392e+13
  1.4152649140e+00  8.1380983309e+14  1.0066934372e+14
  1.4209793080e+00  8.1875851264e+14  1.0232421593e+14
  1.4266937020e+00  8.2398550471e+14  1.0404534022e+14
  1.4324080960e+00  8.2952304188e+14  1.0583780085e+14
  1.4381224900e+00  8.3540810809e+14  1.0770761143e+14
  1.4438368840e+00  8.4168223535e+14  1.0966166766e+14
  1.4495512780e+00  8.4839110516e+14  1.1170763051e+14
  1.4552656720e+00  8.5558407470e+14  1.1385376567e+14
  1.4609800660e+00  8.6331377374e+14  1.1610877517e+14
  1.4666944600e+00  8.7163591858e+14  1.1848165995e+14
  1.4724088540e+00  8.8060946476e+14  1.2098164950e+14
  1.4781232480e+00  8.9029717188e+14  1.2361822457e+14
  1.4838376420e+00  9.0076658914e+14  1.2640124443e+14
  1.4895520360e+00  9.1209139888e+14  1.2934117236e+14
  1.4952664300e+00  9.2435298954e+14  1.3244937563e+14
  1.5009808240e+00  9.3764208072e+14  1.3573846214e+14
  1.5066952180e+00  9.5206020010e+14  1.3922260719e+14
  1.5124096120e+00  9.6772082121e+14  1.4291782292e+14
  1.5181240060e+00  9.8475001120e+14  1.4684212993e+14
  1.5238384000e+00  1.0032865039e+15  1.5101560453e+14
  1.5295527940e+00  1.0234811937e+15  1.5546029344e+14
  1.5352671880e+00  1.0454961259e+15  1.6020000825e+14
  1.5409815820e+00  1.0695031233e+15  1.6526002919e+14
  1.5466959760e+00  1.0956822200e+15  1.7066676015e+14
  1.5524103700e+00  1.1242200631e+15  1.7644737960e+14
  1.5581247640e+00  1.1553083868e+15  1.8262952535e+14
  1.5638391580e+00  1.1891425629e+15  1.8924103417e+14
  1.5695535520e+00  1.2259200996e+15  1.9630973263e+14
  1.5752679460e+00  1.2658388203e+15  2.0386324700e+14
  1.5809823400e+00  1.3090943249e+15  2.1192877246e+14
  1.5866967340e+00  1.3558762504e+15  2.2053272063e+14
  1.5924111280e+00  1.4063628239e+15  2.2970015431e+14
  1.5981255220e+00  1.4607132673e+15  2.3945392394e+14
  1.6038399160e+00  1.5190577656e+15  2.4981344191e+14
  1.6095543100e+00  1.5814849579e+15  2.6079306972e+14
  1.6152687040e+00  1.6480272240e+15  2.7240014400e+14
  1.6209830980e+00  1.7186443980e+15  2.8463272675e+14
  1.6266974920e+00  1.7932068944e+15  2.9747722394e+14
  1.6324118860e+00  1.8714795477e+15  3.1090606805e+14
  1.6381262800e+00  1.9531076800e+15  3.2487569536e+14
  1.6438406740e+00  2.0376070067e+15  3.3932506197e+14
  1.6495550680e+00  2.1243589115e+15  3.5417492908e+14
  1.6552694620e+00  2.2126123827e+15  3.6932810755e+14
  1.6609838560e+00  2.3014934971e+15  3.8467078544e+14
  1.6666982500e+00  2.3900227935e+15  4.0007497737e+14
  1.6724126440e+00  2.4771402485e+15  4.1540203768e+14
  1.6781270380e+00  2.5617369068e+15  4.3050708247e+14
  1.6838414320e+00  2.6426915933e+15  4.4524407739e+14
  1.6895558260e+00  2.7189106161e+15  4.5947128025e+14
  1.6952702200e+00  2.7893680115e+15  4.7305668634e+14
  1.7009846140e+00  2.8531437338e+15  4.8588311597e+14
  1.7066990080e+00  2.9094572677e+15  4.9785260808e+14
  1.7124134020e+00  2.9576944506e+15  5.0888983957e+14
  1.7181277960e+00  2.9974257956e+15  5.1894436984e+14
  1.7238421900e+00  3.0284152685e+15  5.2799160671e+14
  1.7295565840e+00  3.0506192193e+15  5.3603249175e+14
  1.7352709780e+00  3.0641759339e+15  5.4309200087e+14
  1.7409853720e+00  3.0693869702e+15  5.4921663903e+14
  1.7466997660e+00  3.0666920192e+15  5.5447116988e+14
  1.7524141600e+00  3.0566394221e+15  5.5893485622e+14
  1.7581285540e+00  3.0398546527e+15  5.6269749517e+14
  1.7638429480e+00  3.0170090341e+15  5.6585551352e+14
  1.7695573420e+00  2.9887907095e+15  5.6850834952e+14
  1.7752717360e+00  2.9558794781e+15  5.7075529315e+14
  1.7809861300e+00  2.9189265826e+15  5.7269289519e+14
  1.7867005240e+00  2.8785399622e+15  5.7441299379e+14
  1.7924149180e+00  2.8352749343e+15  5.7600135206e+14
  1.7981293120e+00  2.7896297881e+15  5.7753685572e+14
  1.8038437060e+00  2.7420454158e+15  5.7909118927e+14
  1.8095581000e+00  2.6929078982e+15  5.8072889262e+14
  1.8152724940e+00  2.6425529071e+15  5.8250769624e+14
  1.8209868880e+00  2.5912708706e+15  5.8447903930e+14
  1.8267012820e+00  2.5393120519e+15  5.8668868812e+14
  1.8324156760e+00  2.4868909589e+15  5.8917738853e+14
  1.8381300700e+00  2.4341898011e+15  5.9198150188e+14
  1.8438444640e+00  2.3813609898e+15  5.9513358947e+14
  1.8495588580e+00  2.3285288942e+15  5.9866292130e+14
  1.8552732520e+00  2.2757912111e+15  6.0259589436e+14
  1.8609876460e+00  2.2232203501e+15  6.0695635194e+14
  1.8667020400e+00  2.1708651931e+15  6.1176580078e+14
  1.8724164340e+00  2.1187534799e+15  6.1704352775e+14
  1.8781308280e+00  2.0668949120e+15  6.2280662269e+14
  1.8838452220e+00  2.0152849025e+15  6.2906991917e+14
  1.8895596160e+00  1.9639087534e+15  6.3584586891e+14
  1.8952740100e+00  1.9127459417e+15  6.4314436881e+14
  1.9009884040e+00  1.8617741574e+15  6.5097255866e+14
  1.9067027980e+00  1.8109727683e+15  6.5933460417e+14
  1.9124171920e+00  1.7603254761e+15  6.6823147193e+14
  1.9181315860e+00  1.7098220611e+15  6.7766069244e+14
  1.9238459800e+00  1.6594592669e+15  6.8761609511e+14
  1.9295603740e+00  1.6092410143e+15  6.9808748930e+14
  1.9352747680e+00  1.5591782434e+15  7.0906025930e+14
  1.9409891620e+00  1.5092887285e+15  7.2051484291e+14
  1.9467035560e+00  1.4595971987e+15  7.3242607488e+14
  1.9524179500e+00  1.4101360097e+15  7.4476239757e+14
  1.9581323440e+00  1.3609464785e+15  7.5748497181e+14
  1.9638467380e+00  1.3120808240e+15  7.7054675698e+14
  1.9695611320e+00  1.2636044798e+15  7.8389166548e+14
  1.9752755260e+00  1.2155984007e+15  7.9745392746e+14
  1.9809899200e+00  1.1681608838e+15  8.1115781891e+14
  1.9867043140e+00  1.1214084028e+15  8.2491790475e+14
  1.9924187080e+00  1.0754750114e+15  8.3863992402e+14
  1.9981331020e+00  1.0305100080e+15  8.5222239471e+14
  2.0038474960e+00  9.8667375618e+14  8.6555894483e+14
  2.0095618900e+00  9.4413179869e+14  8.7854128831e+14
  2.0152762840e+00  9.0304765145e+14  8.9106267072e+14
  2.0209906780e+00  8.6357488551e+14  9.0302152094e+14
  2.0267050720e+00  8.2584926784e+14  9.1432497497e+14
  2.0324194660e+00  7.8998180500e+14  9.2489189913e+14
  2.0381338600e+00  7.5605350661e+14  9.3465504151e+14
  2.0438482540e+00  7.2411255233e+14  9.4356198840e+14
  2.0495626480e+00  6.9417432004e+14  9.5157469661e+14
  2.0552770420e+00  6.6622443668e+14  9.5866750664e+14
  2.0609914360e+00  6.4022468180e+14  9.6482370338e+14
  2.0667058300e+00  6.1612124486e+14  9.7003086434e+14
  2.0724202240e+00  5.9385455218e+14  9.7427539870e+14
  2.0781346180e+00  5.7336967229e+14  9.7753681455e+14
  2.0838490120e+00  5.5462620594e+14  9.7978233723e+14
  2.0895634060e+00  5.3760658388e+14  9.8096252369e+14
  2.0952778000e+00  5.2232183061e+14  9.8100847004e+14
  2.1009921940e+00  5.0881409346e+14  9.7983109140e+14
  2.1067065880e+00  4.9715555484e+14  9.7732277350e+14
  2.1124209820e+00  4.8744370929e+14  9.7336147194e+14
  2.1181353760e+00  4.7979335328e+14  9.6781708942e+14
  2.1238497700e+00  4.7432596626e+14  9.6055972014e+14
  2.1295641640e+00  4.7115742154e+14  9.5146914149e+14
  2.1352785580e+00  4.7038512695e+14  9.4044477966e+14
  2.1409929520e+00  4.7207574534e+14  9.2741529650e+14
  2.1467073460e+00  4.7625457963e+14  9.1234695054e+14
  2.1524217400e+00  4.8289753799e+14  8.9524997585e+14
  2.1581361340e+00  4.9192634263e+14  8.7618239063e+14
  2.1638505280e+00  5.0320733963e+14  8.5525087400e+14
  2.1695649220e+00  5.1655394102e+14  8.3260861195e+14
  2.1752793160e+00  5.3173241772e+14  8.0845028227e+14
  2.1809937100e+00  5.4847049283e+14  7.8300459591e+14
  2.1867081040e+00  5.6646798324e+14  7.5652501271e+14
  2.1924224980e+00  5.8540861902e+14  7.2927938309e+14
  2.1981368920e+00  6.0497213837e+14  7.0153932225e+14
  2.2038512860e+00  6.2484580898e+14  6.7357009776e+14
  2.2095656800e+00  6.4473464965e+14  6.4562171153e+14
  2.2152800740e+00  6.6436980191e+14  6.1792169773e+14
  2.2209944680e+00  6.8351470713e+14  5.9066996117e+14
  2.2267088620e+00  7.0196895716e+14  5.6403576834e+14
  2.2324232560e+00  7.1956988476e+14  5.3815680157e+14
  2.2381376500e+00  7.3619212651e+14  5.1314001562e+14
  2.2438520440e+00  7.5174551384e+14  4.8906391208e+14
  2.2495664380e+00  7.6617172043e+14  4.6598177940e+14
  2.2552808320e+00  7.7944011787e+14  4.4392543614e+14
  2.2609952260e+00  7.9154326980e+14  4.2290905755e+14
  2.2667096200e+00  8.0249243792e+14  4.0293274789e+14
  2.2724240140e+00  8.1231339258e+14  3.8398562889e+14
  2.2781384080e+00  8.2104272745e+14  3.6604833050e+14
  2.2838528020e+00  8.2872478542e+14  3.4909487748e+14
  2.2895671960e+00  8.3540921899e+14  3.3309405180e+14
  2.2952815900e+00  8.4114914178e+14  3.1801036654e+14
  2.3009959840e+00  8.4599978120e+14  3.0380480972e+14
  2.3067103780e+00  8.5001751764e+14  2.9043550694e+14
  2.3124247720e+00  8.5325919018e+14  2.7785841729e+14
  2.3181391660e+00  8.5578156055e+14  2.6602812642e+14
  2.3238535600e+00  8.5764084939e+14  2.5489874520e+14
  2.3295679540e+00  8.5889228797e+14  2.4442487232e+14
  2.3352823480e+00  8.5958965852e+14  2.3456254332e+14
  2.3409967420e+00  8.5978482293e+14  2.2527007172e+14
  2.3467111360e+00  8.5952726023e+14  2.1650869197e+14
  2.3524255300e+00  8.5886364552e+14  2.0824293703e+14
  2.3581399240e+00  8.5783750700e+14  2.0044071937e+14
  2.3638543180e+00  8.5648899353e+14  1.9307312686e+14
  2.3695687120e+00  8.5485477528e+14  1.8611398577e+14
  2.3752831060e+00  8.5296808566e+14  1.7953927509e+14
  2.3809975000e+00  8.5085889714e+14  1.7332649390e+14
  2.3867118940e+00  8.4855420900e+14  1.6745408462e+14
  2.3924262880e+00  8.4607841318e+14  1.6190099874e+14
  2.3981406820e+00  8.4345369718e+14  1.5664646298e+14
  2.4038550760e+00  8.4070044119e+14  1.5166996603e+14
  2.4095694700e+00  8.3783756973e+14  1.4695144735e+14
  2.4152838640e+00  8.3488282683e+14  1.4247163513e+14
  2.4209982580e+00  8.3185295517e+14  1.3821245701e+14
  2.4267126520e+00  8.2876377385e+14  1.3415743729e+14
  2.4324270460e+00  8.2563016300e+14  1.3029199951e+14
  2.4381414400e+00  8.2246597632e+14  1.2660361256e+14
  2.4438558340e+00  8.1928391104e+14  1.2308174716e+14
  2.4495702280e+00  8.1609537006e+14  1.1971764345e+14
  2.4552846220e+00  8.1291035024e+14  1.1650392316e+14
  2.4609990160e+00  8.0973738583e+14  1.1343410596e+14
  2.4667134100e+00  8.0658356700e+14  1.1050210483e+14
  2.4724278040e+00  8.0345464092e+14  1.0770177791e+14
  2.4781421980e+00  8.0035519050e+14  1.0502660319e+14
  2.4838565920e+00  7.9728887313e+14  1.0246952065e+14
  2.4895709860e+00  7.9425869266e+14  1.0002295776e+14
  2.4952853800e+00  7.9126727212e+14  9.7679023258e+13
  2.5009997740e+00  7.8831709405e+14  9.5429826699e+13
  2.5067141680e+00  7.8541067983e+14  9.3267861107e+13
  2.5124285620e+00  7.8255068778e+14  9.1186377543e+13
  2.5181429560e+00  7.7973992199e+14  8.9179683411e+13
  2.5238573500e+00  7.7698125671e+14  8.7243311080e+13
  2.5295717440e+00  7.7427749373e+14  8.5374026724e+13
  2.5352861380e+00  7.7163118013e+14  8.3569677129e+13
  2.5410005320e+00  7.6904441961e+14  8.1828899915e+13
  2.5467149260e+00  7.6651871105e+14  8.0150745454e+13
  2.5524293200e+00  7.6405484391e+14  7.8534272991e+13
  2.5581437140e+00  7.6165287064e+14  7.6978186937e+13
  2.5638581080e+00  7.5931216389e+14  7.5480571552e+13
  2.5695725020e+00  7.5703155323e+14  7.4038764847e+13
  2.5752868960e+00  7.5480952247e+14  7.2649388530e+13
  2.5810012900e+00  7.5264443948e+14  7.1308524438e+13
  2.5867156840e+00  7.5053478446e+14  7.0012003525e+13
  2.5924300780e+00  7.4847934248e+14  6.8755755204e+13
  2.5981444720e+00  7.4647733175e+14  6.7536155656e+13
  2.6038588660e+00  7.4452844860e+14  6.6350314946e+13
  2.6095732600e+00  7.4263282355e+14  6.5196254153e+13
  2.6152876540e+00  7.4079089671e+14  6.4072943034e+13
  2.6210020480e+00  7.3900323376e+14  6.2980192767e+13
  2.6267164420e+00  7.3727031316e+14  6.1918422857e+13
  2.6324308360e+00  7.3559232011e+14  6.0888342271e+13
  2.6381452300e+00  7.3396898154e+14  5.9890598806e+13
  2.6438596240e+00  7.3239947003e+14  5.8925455360e+13
  2.6495740180e+00  7.3088239341e+14  5.7992546522e+13
  2.6552884120e+00  7.2941587285e+14  5.7090754728e+13
  2.6610028060e+00  7.2799769783e+14  5.6218224658e+13
  2.6667172000e+00  7.2662553382e+14  5.5372511126e+13
  2.6724315940e+00  7.2529714970e+14  5.4550833347e+13
  2.6781459880e+00  7.2401062844e+14  5.3750390977e+13
  2.6838603820e+00  7.2276452712e+14  5.2968687498e+13
  2.6895747760e+00  7.2155796047e+14  5.2203805985e+13
  2.6952891700e+00  7.2039059429e+14  5.1454590964e+13
