#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  2.9935091546e+14  3.9395090617e+13
  9.5811339400e-01  3.0007190645e+14  3.9801644634e+13
  9.6382778800e-01  3.0077466187e+14  4.0212757734e+13
  9.6954218200e-01  3.0145933371e+14  4.0628546389e+13
  9.7525657600e-01  3.0212607644e+14  4.1049129939e+13
  9.8097097000e-01  3.0277504713e+14  4.1474630686e+13
  9.8668536400e-01  3.0340640562e+14  4.1905174001e+13
  9.9239975800e-01  3.0402031463e+14  4.2340888428e+13
  9.9811415200e-01  3.0461693993e+14  4.2781905788e+13
  1.0038285460e+00  3.0519645048e+14  4.3228361297e+13
  1.0095429400e+00  3.0575901860e+14  4.3680393674e+13
  1.0152573340e+00  3.0630482009e+14  4.4138145258e+13
  1.0209717280e+00  3.0683403445e+14  4.4601762125e+13
  1.0266861220e+00  3.0734684504e+14  4.5071394210e+13
  1.0324005160e+00  3.0784343932e+14  4.5547195434e+13
  1.0381149100e+00  3.0832400910e+14  4.6029323836e+13
  1.0438293040e+00  3.0878875077e+14  4.6517941715e+13
  1.0495436980e+00  3.0923786561e+14  4.7013215773e+13
  1.0552580920e+00  3.0967156010e+14  4.7515317279e+13
  1.0609724860e+00  3.1009004621e+14  4.8024422229e+13
  1.0666868800e+00  3.1049354176e+14  4.8540711520e+13
  1.0724012740e+00  3.1088227071e+14  4.9064371132e+13
  1.0781156680e+00  3.1125646354e+14  4.9595592319e+13
  1.0838300620e+00  3.1161635755e+14  5.0134571796e+13
  1.0895444560e+00  3.1196219722e+14  5.0681511946e+13
  1.0952588500e+00  3.1229423455e+14  5.1236621021e+13
  1.1009732440e+00  3.1261272948e+14  5.1800113353e+13
  1.1066876380e+00  3.1291795019e+14  5.2372209572e+13
  1.1124020320e+00  3.1321017360e+14  5.2953136832e+13
  1.1181164260e+00  3.1348968579e+14  5.3543129042e+13
  1.1238308200e+00  3.1375678246e+14  5.4142427117e+13
  1.1295452140e+00  3.1401176948e+14  5.4751279231e+13
  1.1352596080e+00  3.1425496343e+14  5.5369941089e+13
  1.1409740020e+00  3.1448669216e+14  5.5998676214e+13
  1.1466883960e+00  3.1470729543e+14  5.6637756248e+13
  1.1524027900e+00  3.1491712550e+14  5.7287461263e+13
  1.1581171840e+00  3.1511654779e+14  5.7948080094e+13
  1.1638315780e+00  3.1530594154e+14  5.8619910675e+13
  1.1695459720e+00  3.1548570046e+14  5.9303260401e+13
  1.1752603660e+00  3.1565623343e+14  5.9998446485e+13
  1.1809747600e+00  3.1581796522e+14  6.0705796343e+13
  1.1866891540e+00  3.1597133719e+14  6.1425647982e+13
  1.1924035480e+00  3.1611680810e+14  6.2158350409e+13
  1.1981179420e+00  3.1625485493e+14  6.2904264044e+13
  1.2038323360e+00  3.1638597370e+14  6.3663761169e+13
  1.2095467300e+00  3.1651068043e+14  6.4437226380e+13
  1.2152611240e+00  3.1662951209e+14  6.5225057068e+13
  1.2209755180e+00  3.1674302764e+14  6.6027663931e+13
  1.2266899120e+00  3.1685180910e+14  6.6845471494e+13
  1.2324043060e+00  3.1695646268e+14  6.7678918674e+13
  1.2381187000e+00  3.1705761996e+14  6.8528459354e+13
  1.2438330940e+00  3.1715593907e+14  6.9394562997e+13
  1.2495474880e+00  3.1725210594e+14  7.0277715272e+13
  1.2552618820e+00  3.1734683563e+14  7.1178418717e+13
  1.2609762760e+00  3.1744087359e+14  7.2097193417e+13
  1.2666906700e+00  3.1753499705e+14  7.3034577714e+13
  1.2724050640e+00  3.1763001646e+14  7.3991128938e+13
  1.2781194580e+00  3.1772677696e+14  7.4967424170e+13
  1.2838338520e+00  3.1782615994e+14  7.5964061036e+13
  1.2895482460e+00  3.1792908467e+14  7.6981658530e+13
  1.2952626400e+00  3.1803651007e+14  7.8020857883e+13
  1.3009770340e+00  3.1814943646e+14  7.9082323458e+13
  1.3066914280e+00  3.1826890754e+14  8.0166743703e+13
  1.3124058220e+00  3.1839601234e+14  8.1274832135e+13
  1.3181202160e+00  3.1853188735e+14  8.2407328376e+13
  1.3238346100e+00  3.1867771865e+14  8.3564999234e+13
  1.3295490040e+00  3.1883474421e+14  8.4748639831e+13
  1.3352633980e+00  3.1900425619e+14  8.5959074772e+13
  1.3409777920e+00  3.1918760334e+14  8.7197159370e+13
  1.3466921860e+00  3.1938619352e+14  8.8463780903e+13
  1.3524065800e+00  3.1960149624e+14  8.9759859935e+13
  1.3581209740e+00  3.1983504538e+14  9.1086351669e+13
  1.3638353680e+00  3.2008844194e+14  9.2444247366e+13
  1.3695497620e+00  3.2036335693e+14  9.3834575810e+13
  1.3752641560e+00  3.2066153449e+14  9.5258404834e+13
  1.3809785500e+00  3.2098479498e+14  9.6716842907e+13
  1.3866929440e+00  3.2133503835e+14  9.8211040789e+13
  1.3924073380e+00  3.2171424760e+14  9.9742193253e+13
  1.3981217320e+00  3.2212449241e+14  1.0131154087e+14
  1.4038361260e+00  3.2256793293e+14  1.0292037190e+14
  1.4095505200e+00  3.2304682361e+14  1.0457002418e+14
  1.4152649140e+00  3.2356351730e+14  1.0626188719e+14
  1.4209793080e+00  3.2412046941e+14  1.0799740408e+14
  1.4266937020e+00  3.2472024216e+14  1.0977807384e+14
  1.4324080960e+00  3.2536550901e+14  1.1160545353e+14
  1.4381224900e+00  3.2605905924e+14  1.1348116054e+14
  1.4438368840e+00  3.2680380263e+14  1.1540687495e+14
  1.4495512780e+00  3.2760277425e+14  1.1738434192e+14
  1.4552656720e+00  3.2845913953e+14  1.1941537423e+14
