#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  3.0667082183e+14  4.6248067977e+13
  9.5811339400e-01  3.0759666561e+14  4.6812362982e+13
  9.6382778800e-01  3.0850872977e+14  4.7383523547e+13
  9.6954218200e-01  3.0940724334e+14  4.7961682998e+13
  9.7525657600e-01  3.1029243850e+14  4.8546977199e+13
  9.8097097000e-01  3.1116455072e+14  4.9139544602e+13
  9.8668536400e-01  3.1202381882e+14  4.9739526299e+13
  9.9239975800e-01  3.1287048508e+14  5.0347066082e+13
  9.9811415200e-01  3.1370479541e+14  5.0962310493e+13
  1.0038285460e+00  3.1452699939e+14  5.1585408885e+13
  1.0095429400e+00  3.1533735047e+14  5.2216513478e+13
  1.0152573340e+00  3.1613610604e+14  5.2855779422e+13
  1.0209717280e+00  3.1692352764e+14  5.3503364850e+13
  1.0266861220e+00  3.1769988104e+14  5.4159430946e+13
  1.0324005160e+00  3.1846543647e+14  5.4824142006e+13
  1.0381149100e+00  3.1922046871e+14  5.5497665500e+13
  1.0438293040e+00  3.1996525731e+14  5.6180172138e+13
  1.0495436980e+00  3.2070008674e+14  5.6871835934e+13
  1.0552580920e+00  3.2142524658e+14  5.7572834275e+13
  1.0609724860e+00  3.2214103172e+14  5.8283347989e+13
  1.0666868800e+00  3.2284774255e+14  5.9003561414e+13
  1.0724012740e+00  3.2354568514e+14  5.9733662466e+13
  1.0781156680e+00  3.2423517148e+14  6.0473842715e+13
  1.0838300620e+00  3.2491651971e+14  6.1224297451e+13
  1.0895444560e+00  3.2559005431e+14  6.1985225765e+13
  1.0952588500e+00  3.2625610635e+14  6.2756830618e+13
  1.1009732440e+00  3.2691501373e+14  6.3539318916e+13
  1.1066876380e+00  3.2756712147e+14  6.4332901589e+13
  1.1124020320e+00  3.2821278189e+14  6.5137793665e+13
  1.1181164260e+00  3.2885235496e+14  6.5954214346e+13
  1.1238308200e+00  3.2948620854e+14  6.6782387091e+13
  1.1295452140e+00  3.3011471865e+14  6.7622539688e+13
  1.1352596080e+00  3.3073826979e+14  6.8474904336e+13
  1.1409740020e+00  3.3135725522e+14  6.9339717726e+13
  1.1466883960e+00  3.3197207731e+14  7.0217221116e+13
  1.1524027900e+00  3.3258314781e+14  7.1107660416e+13
  1.1581171840e+00  3.3319088818e+14  7.2011286266e+13
  1.1638315780e+00  3.3379572998e+14  7.2928354116e+13
  1.1695459720e+00  3.3439811516e+14  7.3859124308e+13
  1.1752603660e+00  3.3499849645e+14  7.4803862154e+13
  1.1809747600e+00  3.3559733769e+14  7.5762838019e+13
  1.1866891540e+00  3.3619511426e+14  7.6736327395e+13
  1.1924035480e+00  3.3679231341e+14  7.7724610986e+13
  1.1981179420e+00  3.3738943471e+14  7.8727974780e+13
  1.2038323360e+00  3.3798699041e+14  7.9746710128e+13
  1.2095467300e+00  3.3858550590e+14  8.0781113817e+13
  1.2152611240e+00  3.3918552009e+14  8.1831488148e+13
  1.2209755180e+00  3.3978758589e+14  8.2898141001e+13
  1.2266899120e+00  3.4039227065e+14  8.3981385912e+13
  1.2324043060e+00  3.4100015658e+14  8.5081542133e+13
  1.2381187000e+00  3.4161184127e+14  8.6198934705e+13
  1.2438330940e+00  3.4222793814e+14  8.7333894517e+13
  1.2495474880e+00  3.4284907693e+14  8.8486758362e+13
  1.2552618820e+00  3.4347590417e+14  8.9657868998e+13
  1.2609762760e+00  3.4410908377e+14  9.0847575200e+13
  1.2666906700e+00  3.4474929746e+14  9.2056231801e+13
  1.2724050640e+00  3.4539724534e+14  9.3284199742e+13
  1.2781194580e+00  3.4605364647e+14  9.4531846105e+13
  1.2838338520e+00  3.4671923935e+14  9.5799544147e+13
  1.2895482460e+00  3.4739478254e+14  9.7087673322e+13
  1.2952626400e+00  3.4808105520e+14  9.8396619304e+13
  1.3009770340e+00  3.4877885770e+14  9.9726773993e+13
  1.3066914280e+00  3.4948901217e+14  1.0107853552e+14
  1.3124058220e+00  3.5021236313e+14  1.0245230825e+14
  1.3181202160e+00  3.5094977811e+14  1.0384850274e+14
  1.3238346100e+00  3.5170214822e+14  1.0526753576e+14
  1.3295490040e+00  3.5247038881e+14  1.0670983020e+14
  1.3352633980e+00  3.5325544009e+14  1.0817581508e+14
  1.3409777920e+00  3.5405826775e+14  1.0966592546e+14
  1.3466921860e+00  3.5487986365e+14  1.1118060235e+14
  1.3524065800e+00  3.5572124640e+14  1.1272029268e+14
  1.3581209740e+00  3.5658346208e+14  1.1428544912e+14
  1.3638353680e+00  3.5746758489e+14  1.1587653005e+14
  1.3695497620e+00  3.5837471775e+14  1.1749399934e+14
  1.3752641560e+00  3.5930599308e+14  1.1913832624e+14
  1.3809785500e+00  3.6026257334e+14  1.2080998520e+14
  1.3866929440e+00  3.6124565182e+14  1.2250945568e+14
  1.3924073380e+00  3.6225645321e+14  1.2423722191e+14
  1.3981217320e+00  3.6329623432e+14  1.2599377265e+14
  1.4038361260e+00  3.6436628470e+14  1.2777960096e+14
  1.4095505200e+00  3.6546792735e+14  1.2959520384e+14
  1.4152649140e+00  3.6660251931e+14  1.3144108199e+14
  1.4209793080e+00  3.6777145230e+14  1.3331773939e+14
  1.4266937020e+00  3.6897615342e+14  1.3522568295e+14
  1.4324080960e+00  3.7021808566e+14  1.3716542208e+14
  1.4381224900e+00  3.7149874860e+14  1.3913746826e+14
  1.4438368840e+00  3.7281967894e+14  1.4114233453e+14
  1.4495512780e+00  3.7418245108e+14  1.4318053497e+14
  1.4552656720e+00  3.7558867768e+14  1.4525258414e+14
  1.4609800660e+00  3.7704001020e+14  1.4735899648e+14
  1.4666944600e+00  3.7853813935e+14  1.4950028563e+14
  1.4724088540e+00  3.8008479563e+14  1.5167696373e+14
  1.4781232480e+00  3.8168174971e+14  1.5388954071e+14
  1.4838376420e+00  3.8333081285e+14  1.5613852346e+14
  1.4895520360e+00  3.8503383728e+14  1.5842441496e+14
  1.4952664300e+00  3.8679271651e+14  1.6074771343e+14
  1.5009808240e+00  3.8860938562e+14  1.6310891130e+14
  1.5066952180e+00  3.9048582145e+14  1.6550849424e+14
  1.5124096120e+00  3.9242404282e+14  1.6794694005e+14
  1.5181240060e+00  3.9442611064e+14  1.7042471750e+14
  1.5238384000e+00  3.9649412795e+14  1.7294228517e+14
  1.5295527940e+00  3.9863023996e+14  1.7550009009e+14
  1.5352671880e+00  4.0083663393e+14  1.7809856646e+14
  1.5409815820e+00  4.0311553908e+14  1.8073813421e+14
  1.5466959760e+00  4.0546922637e+14  1.8341919746e+14
  1.5524103700e+00  4.0790000818e+14  1.8614214302e+14
  1.5581247640e+00  4.1041023795e+14  1.8890733870e+14
  1.5638391580e+00  4.1300230972e+14  1.9171513162e+14
  1.5695535520e+00  4.1567865757e+14  1.9456584635e+14
  1.5752679460e+00  4.1844175494e+14  1.9745978311e+14
  1.5809823400e+00  4.2129411392e+14  2.0039721576e+14
  1.5866967340e+00  4.2423828438e+14  2.0337838979e+14
  1.5924111280e+00  4.2727685295e+14  2.0640352016e+14
  1.5981255220e+00  4.3041244206e+14  2.0947278915e+14
  1.6038399160e+00  4.3364770863e+14  2.1258634409e+14
  1.6095543100e+00  4.3698534287e+14  2.1574429494e+14
  1.6152687040e+00  4.4042806684e+14  2.1894671195e+14
  1.6209830980e+00  4.4397863289e+14  2.2219362309e+14
  1.6266974920e+00  4.4763982205e+14  2.2548501152e+14
  1.6324118860e+00  4.5141444228e+14  2.2882081293e+14
  1.6381262800e+00  4.5530532654e+14  2.3220091287e+14
  1.6438406740e+00  4.5931533084e+14  2.3562514394e+14
  1.6495550680e+00  4.6344733209e+14  2.3909328301e+14
  1.6552694620e+00  4.6770422592e+14  2.4260504838e+14
  1.6609838560e+00  4.7208892429e+14  2.4616009681e+14
  1.6666982500e+00  4.7660435313e+14  2.4975802068e+14
  1.6724126440e+00  4.8125344971e+14  2.5339834495e+14
  1.6781270380e+00  4.8603916013e+14  2.5708052424e+14
  1.6838414320e+00  4.9096443651e+14  2.6080393985e+14
  1.6895558260e+00  4.9603223432e+14  2.6456789676e+14
  1.6952702200e+00  5.0124550950e+14  2.6837162071e+14
  1.7009846140e+00  5.0660721561e+14  2.7221425527e+14
  1.7066990080e+00  5.1212030092e+14  2.7609485896e+14
  1.7124134020e+00  5.1778770554e+14  2.8001240244e+14
  1.7181277960e+00  5.2361235846e+14  2.8396576576e+14
  1.7238421900e+00  5.2959717475e+14  2.8795373571e+14
