#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  4.2020238557e+14  4.4146828697e+13
  9.5811339400e-01  4.2119077194e+14  4.4574657099e+13
  9.6382778800e-01  4.2214897466e+14  4.5006718165e+13
  9.6954218200e-01  4.2307683691e+14  4.5443138546e+13
  9.7525657600e-01  4.2397432371e+14  4.5884034426e+13
  9.8097097000e-01  4.2484153028e+14  4.6329509629e+13
  9.8668536400e-01  4.2567866752e+14  4.6779656182e+13
  9.9239975800e-01  4.2648602707e+14  4.7234557281e+13
  9.9811415200e-01  4.2726393150e+14  4.7694292193e+13
  1.0038285460e+00  4.2801267800e+14  4.8158942295e+13
  1.0095429400e+00  4.2873248507e+14  4.8628597257e+13
  1.0152573340e+00  4.2942345129e+14  4.9103360333e+13
  1.0209717280e+00  4.3008553330e+14  4.9583351862e+13
  1.0266861220e+00  4.3071854685e+14  5.0068710395e+13
  1.0324005160e+00  4.3132219103e+14  5.0559591235e+13
  1.0381149100e+00  4.3189609177e+14  5.1056162626e+13
  1.0438293040e+00  4.3243985728e+14  5.1558600234e+13
  1.0495436980e+00  4.3295313638e+14  5.2067080838e+13
  1.0552580920e+00  4.3343566948e+14  5.2581776321e+13
  1.0609724860e+00  4.3388732382e+14  5.3102848993e+13
  1.0666868800e+00  4.3430810653e+14  5.3630449067e+13
  1.0724012740e+00  4.3469815329e+14  5.4164714761e+13
  1.0781156680e+00  4.3505769411e+14  5.4705775057e+13
  1.0838300620e+00  4.3538700187e+14  5.5253754704e+13
  1.0895444560e+00  4.3568633223e+14  5.5808780654e+13
  1.0952588500e+00  4.3595586488e+14  5.6370988890e+13
  1.1009732440e+00  4.3619565630e+14  5.6940530517e+13
  1.1066876380e+00  4.3640561199e+14  5.7517576098e+13
  1.1124020320e+00  4.3658548324e+14  5.8102317514e+13
  1.1181164260e+00  4.3673488907e+14  5.8694967022e+13
  1.1238308200e+00  4.3685336006e+14  5.9295753680e+13
  1.1295452140e+00  4.3694039664e+14  5.9904917724e+13
  1.1352596080e+00  4.3699553239e+14  6.0522703876e+13
  1.1409740020e+00  4.3701839128e+14  6.1149354710e+13
  1.1466883960e+00  4.3700872955e+14  6.1785105252e+13
  1.1524027900e+00  4.3696645447e+14  6.2430179752e+13
  1.1581171840e+00  4.3689161703e+14  6.3084791258e+13
  1.1638315780e+00  4.3678437923e+14  6.3749144102e+13
  1.1695459720e+00  4.3664496137e+14  6.4423438981e+13
  1.1752603660e+00  4.3647357810e+14  6.5107879819e+13
  1.1809747600e+00  4.3627037399e+14  6.5802681323e+13
  1.1866891540e+00  4.3603536951e+14  6.6508076003e+13
  1.1924035480e+00  4.3576842668e+14  6.7224319517e+13
  1.1981179420e+00  4.3546924065e+14  6.7951693446e+13
  1.2038323360e+00  4.3513735862e+14  6.8690505075e+13
  1.2095467300e+00  4.3477222352e+14  6.9441084204e+13
  1.2152611240e+00  4.3437323517e+14  7.0203777572e+13
  1.2209755180e+00  4.3393981881e+14  7.0978941844e+13
  1.2266899120e+00  4.3347148950e+14  7.1766936397e+13
  1.2324043060e+00  4.3296790149e+14  7.2568117179e+13
  1.2381187000e+00  4.3242887408e+14  7.3382832752e+13
  1.2438330940e+00  4.3185438930e+14  7.4211423286e+13
  1.2495474880e+00  4.3124456166e+14  7.5054222773e+13
  1.2552618820e+00  4.3059958474e+14  7.5911564199e+13
  1.2609762760e+00  4.2991966362e+14  7.6783786920e+13
  1.2666906700e+00  4.2920494429e+14  7.7671245089e+13
  1.2724050640e+00  4.2845545233e+14  7.8574315818e+13
  1.2781194580e+00  4.2767105120e+14  7.9493405776e+13
  1.2838338520e+00  4.2685142764e+14  8.0428955177e+13
  1.2895482460e+00  4.2599610704e+14  8.1381438551e+13
  1.2952626400e+00  4.2510449658e+14  8.2351362227e+13
  1.3009770340e+00  4.2417594933e+14  8.3339259019e+13
  1.3066914280e+00  4.2320983873e+14  8.4345681072e+13
  1.3124058220e+00  4.2220563110e+14  8.5371192191e+13
  1.3181202160e+00  4.2116294407e+14  8.6416361043e+13
  1.3238346100e+00  4.2008158092e+14  8.7481756525e+13
