#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  7.1357534293e+14  4.9616204008e+13
  9.5811339400e-01  7.1987595974e+14  5.1602771774e+13
  9.6382778800e-01  7.2690931150e+14  5.3384871960e+13
  9.6954218200e-01  7.3397449284e+14  5.4729104525e+13
  9.7525657600e-01  7.4034279768e+14  5.5472538819e+13
  9.8097097000e-01  7.4538180556e+14  5.5551468679e+13
  9.8668536400e-01  7.4866608592e+14  5.5013915180e+13
  9.9239975800e-01  7.5005523532e+14  5.4013486535e+13
  9.9811415200e-01  7.4972507624e+14  5.2785308130e+13
  1.0038285460e+00  7.4814551171e+14  5.1607772103e+13
  1.0095429400e+00  7.4600749857e+14  5.0756312506e+13
  1.0152573340e+00  7.4411037056e+14  5.0456864994e+13
  1.0209717280e+00  7.4322780515e+14  5.0846857045e+13
  1.0266861220e+00  7.4397483565e+14  5.1950442574e+13
  1.0324005160e+00  7.4669868631e+14  5.3672411276e+13
  1.0381149100e+00  7.5141269746e+14  5.5812132677e+13
  1.0438293040e+00  7.5778571544e+14  5.8095541212e+13
  1.0495436980e+00  7.6519014246e+14  6.0220091438e+13
  1.0552580920e+00  7.7280188955e+14  6.1905335033e+13
  1.0609724860e+00  7.7973643245e+14  6.2940691164e+13
  1.0666868800e+00  7.8519860484e+14  6.3222302515e+13
  1.0724012740e+00  7.8862085845e+14  6.2772561657e+13
  1.0781156680e+00  7.8976606280e+14  6.1738696430e+13
  1.0838300620e+00  7.8877638240e+14  6.0370266406e+13
  1.0895444560e+00  7.8615852654e+14  5.8978974308e+13
  1.0952588500e+00  7.8270629879e+14  5.7887239966e+13
  1.1009732440e+00  7.7937211257e+14  5.7373998389e+13
  1.1066876380e+00  7.7710815191e+14  5.7626809679e+13
  1.1124020320e+00  7.7670356193e+14  5.8708475680e+13
  1.1181164260e+00  7.7864539400e+14  6.0544068441e+13
  1.1238308200e+00  7.8302766897e+14  6.2930947948e+13
  1.1295452140e+00  7.8952531466e+14  6.5570521742e+13
  1.1352596080e+00  7.9743907381e+14  6.8116811232e+13
  1.1409740020e+00  8.0580550968e+14  7.0233962082e+13
  1.1466883960e+00  8.1355496798e+14  7.1653176222e+13
  1.1524027900e+00  8.1969172795e+14  7.2219454478e+13
  1.1581171840e+00  8.2346613022e+14  7.1920067050e+13
  1.1638315780e+00  8.2450906904e+14  7.0889588297e+13
  1.1695459720e+00  8.2290490703e+14  6.9390178628e+13
  1.1752603660e+00  8.1918877241e+14  6.7769940837e+13
  1.1809747600e+00  8.1426675062e+14  6.6405929499e+13
  1.1866891540e+00  8.0927060928e+14  6.5641111032e+13
  1.1924035480e+00  8.0537017434e+14  6.5725780528e+13
  1.1981179420e+00  8.0357430419e+14  6.6773405659e+13
  1.2038323360e+00  8.0455415935e+14  6.8738642455e+13
  1.2095467300e+00  8.0851953697e+14  7.1421692443e+13
  1.2152611240e+00  8.1517078508e+14  7.4498819198e+13
  1.2209755180e+00  8.2373649988e+14  7.7574430658e+13
  1.2266899120e+00  8.3309283456e+14  8.0246402649e+13
  1.2324043060e+00  8.4194620717e+14  8.2173910664e+13
  1.2381187000e+00  8.4904989065e+14  8.3136384358e+13
  1.2438330940e+00  8.5341839969e+14  8.3073449414e+13
  1.2495474880e+00  8.5450300131e+14  8.2098705030e+13
  1.2552618820e+00  8.5229732846e+14  8.0484437768e+13
  1.2609762760e+00  8.4735317031e+14  7.8619206166e+13
  1.2666906700e+00  8.4070130484e+14  7.6944845112e+13
  1.2724050640e+00  8.3368830596e+14  7.5883053427e+13
  1.2781194580e+00  8.2775489613e+14  7.5763712376e+13
  1.2838338520e+00  8.2419209139e+14  7.6767066578e+13
  1.2895482460e+00  8.2391617329e+14  7.8889839849e+13
  1.2952626400e+00  8.2730144351e+14  8.1941556603e+13
  1.3009770340e+00  8.3410093786e+14  8.5572394287e+13
  1.3066914280e+00  8.4347110790e+14  8.9328609141e+13
  1.3124058220e+00  8.5409918494e+14  9.2726837044e+13
  1.3181202160e+00  8.6441438119e+14  9.5335183368e+13
  1.3238346100e+00  8.7284924141e+14  9.6847582103e+13
  1.3295490040e+00  8.7810793889e+14  9.7138712823e+13
  1.3352633980e+00  8.7939588579e+14  9.6289731953e+13
  1.3409777920e+00  8.7657031339e+14  9.4579755550e+13
  1.3466921860e+00  8.7018379430e+14  9.2443678893e+13
  1.3524065800e+00  8.6141013026e+14  9.0402607685e+13
  1.3581209740e+00  8.5186179339e+14  8.8977950757e+13
  1.3638353680e+00  8.4332688621e+14  8.8603259139e+13
  1.3695497620e+00  8.3746815110e+14  8.9548636834e+13
  1.3752641560e+00  8.3553430757e+14  9.1870811842e+13
  1.3809785500e+00  8.3813340435e+14  9.5397970309e+13
  1.3866929440e+00  8.4510879486e+14  9.9752834095e+13
  1.3924073380e+00  8.5554206795e+14  1.0441110517e+14
  1.3981217320e+00  8.6788634562e+14  1.0878635868e+14
  1.4038361260e+00  8.8021121403e+14  1.1232776423e+14
  1.4095505200e+00  8.9052091745e+14  1.1461447919e+14
  1.4152649140e+00  8.9709373573e+14  1.1543067284e+14
  1.4209793080e+00  8.9878520466e+14  1.1480796026e+14
