#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  1.0470632143e+30  3.5089852731e+28
  9.5811339400e-01  8.1683969710e+29  3.1087310563e+28
  9.6382778800e-01  6.2323751464e+29  2.4809538666e+28
  9.6954218200e-01  5.0482168623e+29  1.7320391079e+28
  9.7525657600e-01  4.8933101142e+29  9.9576434651e+27
  9.8097097000e-01  5.8835152162e+29  4.1147831784e+27
  9.8668536400e-01  7.9448759897e+29  1.0009193338e+27
  9.9239975800e-01  1.0816474461e+30  1.4195569245e+27
  9.9811415200e-01  1.4085554572e+30  5.6059218049e+27
  1.0038285460e+00  1.7250543859e+30  1.3154470195e+28
  1.0095429400e+00  1.9802574771e+30  2.3054196205e+28
  1.0152573340e+00  2.1312440160e+30  3.3831491412e+28
  1.0209717280e+00  2.1508312616e+30  4.3781524671e+28
  1.0266861220e+00  2.0330396739e+30  5.1252629115e+28
  1.0324005160e+00  1.7951947122e+30  5.4937007796e+28
  1.0381149100e+00  1.4761333647e+30  5.4117434987e+28
  1.0438293040e+00  1.1306265960e+30  4.8824574979e+28
  1.0495436980e+00  8.2078527487e+29  3.9872661448e+28
  1.0552580920e+00  6.0577449769e+29  2.8760727775e+28
  1.0609724860e+00  5.3151859402e+29  1.7449301028e+28
  1.0666868800e+00  6.2216494889e+29  8.0446861642e+27
  1.0724012740e+00  8.7486073702e+29  2.4407770868e+27
  1.0781156680e+00  1.2589046424e+30  1.9784031105e+27
  1.0838300620e+00  1.7196364806e+30  7.1823895172e+27
  1.0895444560e+00  2.1866313885e+30  1.7626224141e+28
  1.0952588500e+00  2.5850040977e+30  3.1954712885e+28
  1.1009732440e+00  2.8480354372e+30  4.8069178656e+28
  1.1066876380e+00  2.9290179643e+30  6.3451764440e+28
  1.1124020320e+00  2.8102483950e+30  7.5579990781e+28
  1.1181164260e+00  2.5074829855e+30  8.2364440094e+28
  1.1238308200e+00  2.0688689322e+30  8.2534844925e+28
  1.1295452140e+00  1.5682654582e+30  7.5904826288e+28
  1.1352596080e+00  1.0938276571e+30  6.3462862197e+28
