#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  6.2081858849e+29  2.0653740031e+27
  9.5811339400e-01  6.3406450227e+29  2.1179558641e+27
  9.6382778800e-01  6.4754944903e+29  2.1715385329e+27
  9.6954218200e-01  6.6127822943e+29  2.2261447101e+27
  9.7525657600e-01  6.7525578322e+29  2.2818010185e+27
  9.8097097000e-01  6.8948719236e+29  2.3385360504e+27
  9.8668536400e-01  7.0397768312e+29  2.3963780051e+27
  9.9239975800e-01  7.1873262763e+29  2.4553523086e+27
  9.9811415200e-01  7.3375754518e+29  2.5154796265e+27
  1.0038285460e+00  7.4905810397e+29  2.5767746325e+27
  1.0095429400e+00  7.6464012371e+29  2.6392457791e+27
  1.0152573340e+00  7.8050957957e+29  2.7028961537e+27
  1.0209717280e+00  7.9667260769e+29  2.7677253198e+27
  1.0266861220e+00  8.1313551225e+29  2.8337318672e+27
  1.0324005160e+00  8.2990477389e+29  2.9009162601e+27
  1.0381149100e+00  8.4698705903e+29  2.9692835037e+27
  1.0438293040e+00  8.6438922957e+29  3.0388451602e+27
  1.0495436980e+00  8.8211835222e+29  3.1096203370e+27
  1.0552580920e+00  9.0018170706e+29  3.1816354336e+27
  1.0609724860e+00  9.1858679479e+29  3.2549226377e+27
  1.0666868800e+00  9.3734134266e+29  3.3295173774e+27
  1.0724012740e+00  9.5645330901e+29  3.4054551259e+27
  1.0781156680e+00  9.7593088702e+29  3.4827680840e+27
  1.0838300620e+00  9.9578250807e+29  3.5614823062e+27
  1.0895444560e+00  1.0160168456e+30  3.6416157863e+27
  1.0952588500e+00  1.0366428200e+30  3.7231778714e+27
  1.1009732440e+00  1.0576696056e+30  3.8061701595e+27
  1.1066876380e+00  1.0791066392e+30  3.8905887867e+27
  1.1124020320e+00  1.1009636315e+30  3.9764277658e+27
  1.1181164260e+00  1.1232505799e+30  4.0636828430e+27
  1.1238308200e+00  1.1459777835e+30  4.1523552286e+27
  1.1295452140e+00  1.1691558579e+30  4.2424545538e+27
  1.1352596080e+00  1.1927957507e+30  4.3340005128e+27
  1.1409740020e+00  1.2169087556e+30  4.4270228544e+27
  1.1466883960e+00  1.2415065253e+30  4.5215596597e+27
  1.1524027900e+00  1.2666010826e+30  4.6176541337e+27
  1.1581171840e+00  1.2922048300e+30  4.7153504044e+27
  1.1638315780e+00  1.3183305574e+30  4.8146890135e+27
  1.1695459720e+00  1.3449914503e+30  4.9157028618e+27
  1.1752603660e+00  1.3722010979e+30  5.0184143252e+27
  1.1809747600e+00  1.3999735027e+30  5.1228340817e+27
  1.1866891540e+00  1.4283230929e+30  5.2289619160e+27
  1.1924035480e+00  1.4572647370e+30  5.3367894422e+27
  1.1981179420e+00  1.4868137623e+30  5.4463043455e+27
  1.2038323360e+00  1.5169859758e+30  5.5574954753e+27
  1.2095467300e+00  1.5477976878e+30  5.6703579438e+27
  1.2152611240e+00  1.5792657365e+30  5.7848973555e+27
  1.2209755180e+00  1.6114075133e+30  5.9011324064e+27
