#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  5.4809088690e+29  2.1605325944e+27
  9.6573258600e-01  5.6979866500e+29  2.2937980129e+27
  9.7906617200e-01  5.9201380732e+29  2.4333603744e+27
  9.9239975800e-01  6.1473321632e+29  2.5796035292e+27
  1.0057333440e+00  6.3796695234e+29  2.7328507964e+27
  1.0190669300e+00  6.6173884444e+29  2.8932715189e+27
  1.0324005160e+00  6.8607497913e+29  3.0609229226e+27
  1.0457341020e+00  7.1098942408e+29  3.2359035669e+27
  1.0590676880e+00  7.3648017987e+29  3.4184905497e+27
  1.0724012740e+00  7.6254031700e+29  3.6091341887e+27
  1.0857348600e+00  7.8917571563e+29  3.8083005462e+27
  1.0990684460e+00  8.1641375372e+29  4.0162893900e+27
  1.1124020320e+00  8.4429396376e+29  4.2331902370e+27
  1.1257356180e+00  8.7284740883e+29  4.4590300383e+27
  1.1390692040e+00  9.0208271197e+29  4.6939976894e+27
  1.1524027900e+00  9.3199245504e+29  4.9385498663e+27
  1.1657363760e+00  9.6257629900e+29  5.1932912526e+27
  1.1790699620e+00  9.9386133710e+29  5.4587159710e+27
  1.1924035480e+00  1.0259006923e+30  5.7350305764e+27
  1.2057371340e+00  1.0587494721e+30  6.0222259049e+27
  1.2190707200e+00  1.0924380193e+30  6.3203560673e+27
  1.2324043060e+00  1.1269669876e+30  6.6297923135e+27
  1.2457378920e+00  1.1623312011e+30  6.9512210252e+27
  1.2590714780e+00  1.1985534401e+30  7.2853646831e+27
  1.2724050640e+00  1.2356982017e+30  7.6326520314e+27
  1.2857386500e+00  1.2738508770e+30  7.9931293739e+27
  1.2990722360e+00  1.3130781836e+30  8.3667138131e+27
  1.3124058220e+00  1.3534046193e+30  8.7535908125e+27
  1.3257394080e+00  1.3948285281e+30  9.1544117660e+27
  1.3390729940e+00  1.4373673091e+30  9.5700972072e+27
  1.3524065800e+00  1.4810934017e+30  1.0001388507e+28
  1.3657401660e+00  1.5261272828e+30  1.0448528480e+28
  1.3790737520e+00  1.5725898990e+30  1.0911367641e+28
  1.3924073380e+00  1.6205546196e+30  1.1389836162e+28
  1.4057409240e+00  1.6700433894e+30  1.1884389064e+28
  1.4190745100e+00  1.7210756616e+30  1.2396023885e+28
  1.4324080960e+00  1.7737309880e+30  1.2925819980e+28
  1.4457416820e+00  1.8281695827e+30  1.3474372359e+28
  1.4590752680e+00  1.8845882467e+30  1.4041617230e+28
  1.4724088540e+00  1.9431463727e+30  1.4627235826e+28
  1.4857424400e+00  2.0039280406e+30  1.5231320983e+28
  1.4990760260e+00  2.0669798989e+30  1.5854731216e+28
  1.5124096120e+00  2.1323988640e+30  1.6498791045e+28
  1.5257431980e+00  2.2003950776e+30  1.7164553449e+28
  1.5390767840e+00  2.2712706739e+30  1.7852247828e+28
  1.5524103700e+00  2.3453265162e+30  1.8561418972e+28
  1.5657439560e+00  2.4227771186e+30  1.9291684342e+28
  1.5790775420e+00  2.5037552491e+30  2.0043479605e+28
  1.5924111280e+00  2.5884138406e+30  2.0818125177e+28
  1.6057447140e+00  2.6770438973e+30  2.1617101847e+28
  1.6190783000e+00  2.7701036357e+30  2.2441120249e+28
  1.6324118860e+00  2.8681250657e+30  2.3289795660e+28
  1.6457454720e+00  2.9715744705e+30  2.4162259280e+28
  1.6590790580e+00  3.0807951648e+30  2.5058226177e+28
  1.6724126440e+00  3.1960997879e+30  2.5978597882e+28
  1.6857462300e+00  3.3179489241e+30  2.6925025316e+28
  1.6990798160e+00  3.4470659535e+30  2.7898742578e+28
  1.7124134020e+00  3.5843804865e+30  2.8899653220e+28
  1.7257469880e+00  3.7308404819e+30  2.9926494273e+28
  1.7390805740e+00  3.8872616333e+30  3.0977999981e+28
  1.7524141600e+00  4.0543700619e+30  3.2054090018e+28
  1.7657477460e+00  4.2330350656e+30  3.3156016666e+28
  1.7790813320e+00  4.4245126207e+30  3.4285258903e+28
  1.7924149180e+00  4.6304894863e+30  3.5442052333e+28
  1.8057485040e+00  4.8528797408e+30  3.6624826942e+28
  1.8190820900e+00  5.0935545902e+30  3.7831098694e+28
  1.8324156760e+00  5.3542774417e+30  3.9059098852e+28
  1.8457492620e+00  5.6369656686e+30  4.0308717722e+28
  1.8590828480e+00  5.9441158293e+30  4.1580856120e+28
  1.8724164340e+00  6.2790583367e+30  4.2875637871e+28
  1.8857500200e+00  6.6458274816e+30  4.4190979464e+28
  1.8990836060e+00  7.0487737060e+30  4.5522785008e+28
  1.9124171920e+00  7.4923200883e+30  4.6866657727e+28
  1.9257507780e+00  7.9812056422e+30  4.8219653240e+28
