#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  6.6590230069e+14  4.7946438218e+13
  9.5811339400e-01  6.6844556532e+14  4.8326117172e+13
  9.6382778800e-01  6.7077173961e+14  4.8673143178e+13
  9.6954218200e-01  6.7290328361e+14  4.8996161952e+13
  9.7525657600e-01  6.7489189690e+14  4.9308719327e+13
  9.8097097000e-01  6.7681010937e+14  4.9627027871e+13
  9.8668536400e-01  6.7873909534e+14  4.9967220596e+13
  9.9239975800e-01  6.8075475617e+14  5.0342558074e+13
  9.9811415200e-01  6.8291445470e+14  5.0761073518e+13
  1.0038285460e+00  6.8524671578e+14  5.1224074754e+13
  1.0095429400e+00  6.8774573569e+14  5.1725782279e+13
  1.0152573340e+00  6.9037174337e+14  5.2254191345e+13
  1.0209717280e+00  6.9305726136e+14  5.2793035344e+13
  1.0266861220e+00  6.9571829264e+14  5.3324533898e+13
  1.0324005160e+00  6.9826858698e+14  5.3832465862e+13
  1.0381149100e+00  7.0063457236e+14  5.4305040950e+13
  1.0438293040e+00  7.0276837575e+14  5.4737067018e+13
  1.0495436980e+00  7.0465663952e+14  5.5131021127e+13
  1.0552580920e+00  7.0632352441e+14  5.5496813940e+13
  1.0609724860e+00  7.0782726581e+14  5.5850258974e+13
  1.0666868800e+00  7.0925075433e+14  5.6210483060e+13
  1.0724012740e+00  7.1068765540e+14  5.6596703205e+13
  1.0781156680e+00  7.1222638437e+14  5.7024914451e+13
  1.0838300620e+00  7.1393466996e+14  5.7505061010e+13
  1.0895444560e+00  7.1584739058e+14  5.8039192132e+13
  1.0952588500e+00  7.1795985465e+14  5.8620944924e+13
  1.1009732440e+00  7.2022779691e+14  5.9236474250e+13
  1.1066876380e+00  7.2257422631e+14  5.9866701939e+13
  1.1124020320e+00  7.2490207829e+14  6.0490526118e+13
  1.1181164260e+00  7.2711059964e+14  6.1088456970e+13
  1.1238308200e+00  7.2911270684e+14  6.1646059100e+13
  1.1295452140e+00  7.3085033420e+14  6.2156599781e+13
  1.1352596080e+00  7.3230507552e+14  6.2622425846e+13
  1.1409740020e+00  7.3350218086e+14  6.3054800894e+13
  1.1466883960e+00  7.3450707913e+14  6.3472194579e+13
  1.1524027900e+00  7.3541487150e+14  6.3897283395e+13
  1.1581171840e+00  7.3633446506e+14  6.4353151418e+13
  1.1638315780e+00  7.3736997667e+14  6.4859329421e+13
  1.1695459720e+00  7.3860256421e+14  6.5428353964e+13
  1.1752603660e+00  7.4007583528e+14  6.6063454470e+13
  1.1809747600e+00  7.4178743214e+14  6.6757795850e+13
  1.1866891540e+00  7.4368838059e+14  6.7495445653e+13
  1.1924035480e+00  7.4569048373e+14  6.8253940648e+13
  1.1981179420e+00  7.4768065832e+14  6.9008048265e+13
  1.2038323360e+00  7.4953988843e+14  6.9734101829e+13
  1.2095467300e+00  7.5116362337e+14  7.0414174096e+13
  1.2152611240e+00  7.5248012743e+14  7.1039363328e+13
  1.2209755180e+00  7.5346356514e+14  7.1611601425e+13
  1.2266899120e+00  7.5413944310e+14  7.2143634232e+13
  1.2324043060e+00  7.5458129497e+14  7.2657131142e+13
  1.2381187000e+00  7.5489898281e+14  7.3179203167e+13
  1.2438330940e+00  7.5522044281e+14  7.3737890704e+13
  1.2495474880e+00  7.5566987691e+14  7.4357374496e+13
  1.2552618820e+00  7.5634607387e+14  7.5053730491e+13
  1.2609762760e+00  7.5730460639e+14  7.5831976562e+13
  1.2666906700e+00  7.5854706987e+14  7.6684955442e+13
  1.2724050640e+00  7.6001938735e+14  7.7594295366e+13
  1.2781194580e+00  7.6161968986e+14  7.8533337510e+13
  1.2838338520e+00  7.6321464103e+14  7.9471576830e+13
  1.2895482460e+00  7.6466159174e+14  8.0379889480e+13
  1.2952626400e+00  7.6583288148e+14  8.1235664742e+13
  1.3009770340e+00  7.6663814327e+14  8.2026952055e+13
  1.3066914280e+00  7.6704071151e+14  8.2754879605e+13
  1.3124058220e+00  7.6706515286e+14  8.3433878937e+13
  1.3181202160e+00  7.6679439647e+14  8.4089615992e+13
  1.3238346100e+00  7.6635669532e+14  8.4754922046e+13
  1.3295490040e+00  7.6590440969e+14  8.5464371499e+13
  1.3352633980e+00  7.6558806438e+14  8.6248405183e+13
  1.3409777920e+00  7.6553003530e+14  8.7128001761e+13
  1.3466921860e+00  7.6580239759e+14  8.8110833812e+13
