  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)

  47.000     0.000    0.000     2.020   2.128   0.000  8.9835786799e-04
  47.000     0.000    0.000     2.060   2.171   0.000  9.4803170899e-04
  47.000     0.000    0.000     2.101   2.214   0.000  9.9743045484e-04
  47.000     0.000    0.000     2.141   2.256   0.000  1.0463073778e-03
  47.000     0.000    0.000     2.181   2.299   0.000  1.1097095749e-03
  47.000     0.000    0.000     2.222   2.341   0.000  1.1736494506e-03
  47.000     0.000    0.000     2.262   2.384   0.000  1.2361235831e-03
  47.000     0.000    0.000     2.303   2.426   0.000  1.2966321031e-03
  47.000     0.000    0.000     2.343   2.469   0.000  1.3546850327e-03
  47.000     0.000    0.000     2.383   2.512   0.000  1.4098072593e-03
  47.000     0.000    0.000     2.424   2.554   0.000  1.4615475105e-03
  47.000     0.000    0.000     2.464   2.597   0.000  1.5094864257e-03
  47.000     0.000    0.000     2.505   2.639   0.000  1.5532386836e-03
  47.000     0.000    0.000     2.545   2.682   0.000  1.5924642710e-03
  47.000     0.000    0.000     2.585   2.724   0.000  1.6268708370e-03
  47.000     0.000    0.000     2.626   2.767   0.000  1.6562197598e-03
  47.000     0.000    0.000     2.666   2.810   0.000  1.6803253403e-03
  47.000     0.000    0.000     2.707   2.852   0.000  1.6990636337e-03
  47.000     0.000    0.000     2.747   2.895   0.000  1.7123649328e-03
  47.000     0.000    0.000     2.787   2.937   0.000  1.7202200911e-03
  47.000     0.000    0.000     2.828   2.980   0.000  1.7226732220e-03
  47.000     0.000    0.000     2.868   3.022   0.000  1.7198230024e-03
  47.000     0.000    0.000     2.909   3.065   0.000  1.7118125198e-03
  47.000     0.000    0.000     2.949   3.108   0.000  1.6988330909e-03
  47.000     0.000    0.000     2.989   3.150   0.000  1.6811076850e-03
  47.000     0.000    0.000     3.030   3.193   0.000  1.6588982974e-03
  47.000     0.000    0.000     3.070   3.235   0.000  1.6324897199e-03
  47.000     0.000    0.000     3.111   3.278   0.000  1.6021895526e-03
  47.000     0.000    0.000     3.151   3.320   0.000  1.5742502939e-03
  47.000     0.000    0.000     3.191   3.363   0.000  1.5604141712e-03
  47.000     0.000    0.000     3.232   3.406   0.000  1.5443606966e-03
  47.000     0.000    0.000     3.272   3.448   0.000  1.5262168452e-03
  47.000     0.000    0.000     3.313   3.491   0.000  1.5061108153e-03
  47.000     0.000    0.000     3.353   3.533   0.000  1.4841710218e-03
  47.000     0.000    0.000     3.393   3.576   0.000  1.4605310231e-03
  47.000     0.000    0.000     3.434   3.618   0.000  1.4353228932e-03
  47.000     0.000    0.000     3.474   3.661   0.000  1.4086764034e-03
  47.000     0.000    0.000     3.515   3.703   0.000  1.3807242858e-03
  47.000     0.000    0.000     3.555   3.746   0.000  1.3515938324e-03
  47.000     0.000    0.000     3.595   3.789   0.000  1.3214140506e-03
  47.000     0.000    0.000     3.636   3.831   0.000  1.2903074993e-03
  47.000     0.000    0.000     3.676   3.874   0.000  1.2583975850e-03
  47.000     0.000    0.000     3.717   3.916   0.000  1.2258004421e-03
  47.000     0.000    0.000     3.757   3.959   0.000  1.1926323609e-03
  47.000     0.000    0.000     3.797   4.001   0.000  1.1590018090e-03
  47.000     0.000    0.000     3.838   4.044   0.000  1.1250147512e-03
  47.000     0.000    0.000     3.878   4.087   0.000  1.0907773062e-03
  47.000     0.000    0.000     3.919   4.129   0.000  1.0563804139e-03
  47.000     0.000    0.000     3.959   4.172   0.000  1.0219206412e-03
  47.000     0.000    0.000     3.999   4.214   0.000  9.8748579000e-04
  47.000     0.000    0.000     4.040   4.257   0.000  9.5315683610e-04
  47.000     0.000    0.000     4.080   4.299   0.000  9.1901198982e-04
  47.000     0.000    0.000     4.121   4.342   0.000  8.8512640988e-04
  47.000     0.000    0.000     4.161   4.385   0.000  8.5156663757e-04
  47.000     0.000    0.000     4.201   4.427   0.000  8.1839832929e-04
  47.000     0.000    0.000     4.242   4.470   0.000  7.8567844086e-04
  47.000     0.000    0.000     4.282   4.512   0.000  7.5346321379e-04
  47.000     0.000    0.000     4.323   4.555   0.000  7.2180043270e-04
  47.000     0.000    0.000     4.363   4.597   0.000  6.9073713654e-04
  47.000     0.000    0.000     4.403   4.640   0.000  6.6031246916e-04
  47.000     0.000    0.000     4.444   4.683   0.000  6.3056457338e-04
  47.000     0.000    0.000     4.484   4.725   0.000  6.0152455901e-04
  47.000     0.000    0.000     4.525   4.768   0.000  5.7322100659e-04
  47.000     0.000    0.000     4.565   4.810   0.000  5.4567988263e-04
  47.000     0.000    0.000     4.605   4.853   0.000  5.1892085252e-04
  47.000     0.000    0.000     4.646   4.895   0.000  4.9296274703e-04
  47.000     0.000    0.000     4.686   4.938   0.000  4.6781828293e-04
  47.000     0.000    0.000     4.727   4.981   0.000  4.4349963255e-04
  47.000     0.000    0.000     4.767   5.023   0.000  4.3195716789e-04
  47.000     0.000    0.000     4.807   5.066   0.000  4.2207619968e-04
  47.000     0.000    0.000     4.848   5.108   0.000  4.1231303195e-04
  47.000     0.000    0.000     4.888   5.151   0.000  4.0267552331e-04
  47.000     0.000    0.000     4.928   5.193   0.000  3.9316747186e-04
  47.000     0.000    0.000     4.969   5.236   0.000  3.8379485414e-04
  47.000     0.000    0.000     5.009   5.279   0.000  3.7456228041e-04
  47.000     0.000    0.000     5.050   5.321   0.000  3.6547377976e-04
  47.000     0.000    0.000     5.090   5.364   0.000  3.5653214061e-04
  47.000     0.000    0.000     5.130   5.406   0.000  3.4774219601e-04
  47.000     0.000    0.000     5.171   5.449   0.000  3.3910519471e-04
  47.000     0.000    0.000     5.211   5.491   0.000  3.3062363571e-04
  47.000     0.000    0.000     5.252   5.534   0.000  3.2230087116e-04
  47.000     0.000    0.000     5.292   5.577   0.000  3.1413724657e-04
  47.000     0.000    0.000     5.332   5.619   0.000  3.0613477912e-04
  47.000     0.000    0.000     5.373   5.662   0.000  2.9829451535e-04
  47.000     0.000    0.000     5.413   5.704   0.000  2.9061661570e-04
  47.000     0.000    0.000     5.454   5.747   0.000  2.8310277873e-04
  47.000     0.000    0.000     5.494   5.789   0.000  2.7575208579e-04
  47.000     0.000    0.000     5.534   5.832   0.000  2.6856455837e-04
  47.000     0.000    0.000     5.575   5.875   0.000  2.6154110779e-04
  47.000     0.000    0.000     5.615   5.917   0.000  2.5468016992e-04
  47.000     0.000    0.000     5.656   5.960   0.000  2.4798171069e-04
  47.000     0.000    0.000     5.696   6.002   0.000  2.4144493703e-04
  47.000     0.000    0.000     5.736   6.045   0.000  2.3506843618e-04
  47.000     0.000    0.000     5.777   6.087   0.000  2.2885160186e-04
  47.000     0.000    0.000     5.817   6.130   0.000  2.2279328612e-04
  47.000     0.000    0.000     5.858   6.172   0.000  2.1689210150e-04
  47.000     0.000    0.000     5.898   6.215   0.000  2.1114614019e-04
  47.000     0.000    0.000     5.938   6.258   0.000  2.0555435613e-04
  47.000     0.000    0.000     5.979   6.300   0.000  2.0011513219e-04
  47.000     0.000    0.000     6.019   6.343   0.000  1.9482665440e-04

  47.500     0.000    0.000     2.020   2.128   0.000  8.5439125519e-04
  47.500     0.000    0.000     2.060   2.171   0.000  9.0249101095e-04
  47.500     0.000    0.000     2.101   2.214   0.000  9.5036908813e-04
  47.500     0.000    0.000     2.141   2.256   0.000  9.9778608556e-04
  47.500     0.000    0.000     2.181   2.299   0.000  1.0544872535e-03
  47.500     0.000    0.000     2.222   2.341   0.000  1.1163211599e-03
  47.500     0.000    0.000     2.262   2.384   0.000  1.1768193436e-03
  47.500     0.000    0.000     2.303   2.426   0.000  1.2354983298e-03
  47.500     0.000    0.000     2.343   2.469   0.000  1.2918823199e-03
  47.500     0.000    0.000     2.383   2.512   0.000  1.3455108460e-03
  47.500     0.000    0.000     2.424   2.554   0.000  1.3959440594e-03
  47.500     0.000    0.000     2.464   2.597   0.000  1.4427726745e-03
  47.500     0.000    0.000     2.505   2.639   0.000  1.4856197847e-03
  47.500     0.000    0.000     2.545   2.682   0.000  1.5241515298e-03
  47.500     0.000    0.000     2.585   2.724   0.000  1.5580796151e-03
  47.500     0.000    0.000     2.626   2.767   0.000  1.5871662145e-03
  47.500     0.000    0.000     2.666   2.810   0.000  1.6112271772e-03
  47.500     0.000    0.000     2.707   2.852   0.000  1.6301350715e-03
  47.500     0.000    0.000     2.747   2.895   0.000  1.6438155611e-03
  47.500     0.000    0.000     2.787   2.937   0.000  1.6522529476e-03
  47.500     0.000    0.000     2.828   2.980   0.000  1.6554830824e-03
  47.500     0.000    0.000     2.868   3.022   0.000  1.6535947836e-03
  47.500     0.000    0.000     2.909   3.065   0.000  1.6467200993e-03
  47.500     0.000    0.000     2.949   3.108   0.000  1.6350380815e-03
  47.500     0.000    0.000     2.989   3.150   0.000  1.6187587600e-03
  47.500     0.000    0.000     3.030   3.193   0.000  1.5981318469e-03
  47.500     0.000    0.000     3.070   3.235   0.000  1.5734253047e-03
  47.500     0.000    0.000     3.111   3.278   0.000  1.5449323535e-03
  47.500     0.000    0.000     3.151   3.320   0.000  1.5189840331e-03
  47.500     0.000    0.000     3.191   3.363   0.000  1.5059773299e-03
  47.500     0.000    0.000     3.232   3.406   0.000  1.4908078702e-03
  47.500     0.000    0.000     3.272   3.448   0.000  1.4735963361e-03
  47.500     0.000    0.000     3.313   3.491   0.000  1.4544665279e-03
  47.500     0.000    0.000     3.353   3.533   0.000  1.4335443386e-03
  47.500     0.000    0.000     3.393   3.576   0.000  1.4109551371e-03
  47.500     0.000    0.000     3.434   3.618   0.000  1.3868286770e-03
  47.500     0.000    0.000     3.474   3.661   0.000  1.3612907798e-03
  47.500     0.000    0.000     3.515   3.703   0.000  1.3344701324e-03
  47.500     0.000    0.000     3.555   3.746   0.000  1.3064901744e-03
  47.500     0.000    0.000     3.595   3.789   0.000  1.2774763539e-03
  47.500     0.000    0.000     3.636   3.831   0.000  1.2475474960e-03
  47.500     0.000    0.000     3.676   3.874   0.000  1.2168239661e-03
  47.500     0.000    0.000     3.717   3.916   0.000  1.1854205164e-03
  47.500     0.000    0.000     3.757   3.959   0.000  1.1534463662e-03
  47.500     0.000    0.000     3.797   4.001   0.000  1.1210092063e-03
  47.500     0.000    0.000     3.838   4.044   0.000  1.0882143345e-03
  47.500     0.000    0.000     3.878   4.087   0.000  1.0551591218e-03
  47.500     0.000    0.000     3.919   4.129   0.000  1.0219402669e-03
  47.500     0.000    0.000     3.959   4.172   0.000  9.8864628066e-04
  47.500     0.000    0.000     3.999   4.214   0.000  9.5536276963e-04
  47.500     0.000    0.000     4.040   4.257   0.000  9.2217479112e-04
  47.500     0.000    0.000     4.080   4.299   0.000  8.8915309369e-04
  47.500     0.000    0.000     4.121   4.342   0.000  8.5637299932e-04
  47.500     0.000    0.000     4.161   4.385   0.000  8.2390148673e-04
  47.500     0.000    0.000     4.201   4.427   0.000  7.9179760422e-04
  47.500     0.000    0.000     4.242   4.470   0.000  7.6012433217e-04
  47.500     0.000    0.000     4.282   4.512   0.000  7.2893132271e-04
  47.500     0.000    0.000     4.323   4.555   0.000  6.9826762257e-04
  47.500     0.000    0.000     4.363   4.597   0.000  6.6817913833e-04
  47.500     0.000    0.000     4.403   4.640   0.000  6.3870465593e-04
  47.500     0.000    0.000     4.444   4.683   0.000  6.0988157988e-04
  47.500     0.000    0.000     4.484   4.725   0.000  5.8174070256e-04
  47.500     0.000    0.000     4.525   4.768   0.000  5.5431015607e-04
  47.500     0.000    0.000     4.565   4.810   0.000  5.2761569365e-04
  47.500     0.000    0.000     4.605   4.853   0.000  5.0167807207e-04
  47.500     0.000    0.000     4.646   4.895   0.000  4.7651339905e-04
  47.500     0.000    0.000     4.686   4.938   0.000  4.5213588166e-04
  47.500     0.000    0.000     4.727   4.981   0.000  4.3069348684e-04
  47.500     0.000    0.000     4.767   5.023   0.000  4.2087785957e-04
  47.500     0.000    0.000     4.807   5.066   0.000  4.1117253566e-04
  47.500     0.000    0.000     4.848   5.108   0.000  4.0158401947e-04
  47.500     0.000    0.000     4.888   5.151   0.000  3.9212022508e-04
  47.500     0.000    0.000     4.928   5.193   0.000  3.8278551008e-04
  47.500     0.000    0.000     4.969   5.236   0.000  3.7358428807e-04
  47.500     0.000    0.000     5.009   5.279   0.000  3.6452169382e-04
  47.500     0.000    0.000     5.050   5.321   0.000  3.5560102452e-04
  47.500     0.000    0.000     5.090   5.364   0.000  3.4682739229e-04
  47.500     0.000    0.000     5.130   5.406   0.000  3.3820234343e-04
  47.500     0.000    0.000     5.171   5.449   0.000  3.2972937348e-04
  47.500     0.000    0.000     5.211   5.491   0.000  3.2141081064e-04
  47.500     0.000    0.000     5.252   5.534   0.000  3.1324791206e-04
  47.500     0.000    0.000     5.292   5.577   0.000  3.0524375504e-04
  47.500     0.000    0.000     5.332   5.619   0.000  2.9739824359e-04
  47.500     0.000    0.000     5.373   5.662   0.000  2.8971300107e-04
  47.500     0.000    0.000     5.413   5.704   0.000  2.8218829063e-04
  47.500     0.000    0.000     5.454   5.747   0.000  2.7482498103e-04
  47.500     0.000    0.000     5.494   5.789   0.000  2.6762339750e-04
  47.500     0.000    0.000     5.534   5.832   0.000  2.6058351950e-04
  47.500     0.000    0.000     5.575   5.875   0.000  2.5370500455e-04
  47.500     0.000    0.000     5.615   5.917   0.000  2.4698693299e-04
  47.500     0.000    0.000     5.656   5.960   0.000  2.4042918623e-04
  47.500     0.000    0.000     5.696   6.002   0.000  2.3403096002e-04
  47.500     0.000    0.000     5.736   6.045   0.000  2.2779083178e-04
  47.500     0.000    0.000     5.777   6.087   0.000  2.2170859900e-04
  47.500     0.000    0.000     5.817   6.130   0.000  2.1578180297e-04
  47.500     0.000    0.000     5.858   6.172   0.000  2.1001035473e-04
  47.500     0.000    0.000     5.898   6.215   0.000  2.0439187839e-04
  47.500     0.000    0.000     5.938   6.258   0.000  1.9892534164e-04
  47.500     0.000    0.000     5.979   6.300   0.000  1.9360912517e-04
  47.500     0.000    0.000     6.019   6.343   0.000  1.8844141612e-04

  48.000     0.000    0.000     2.020   2.128   0.000  8.1372406532e-04
  48.000     0.000    0.000     2.060   2.171   0.000  8.6033114119e-04
  48.000     0.000    0.000     2.101   2.214   0.000  9.0676461499e-04
  48.000     0.000    0.000     2.141   2.256   0.000  9.5279208321e-04
  48.000     0.000    0.000     2.181   2.299   0.000  1.0032659916e-03
