"1.1uM Malachite Green in H2O - RawData"
"Wavelength nm.","Abs."
700.00,1.277
699.00,1.338
698.00,1.403
697.00,1.472
696.00,1.546
695.00,1.626
694.00,1.712
693.00,1.805
692.00,1.903
691.00,2.007
690.00,2.120
689.00,2.244
688.00,2.372
687.00,2.504
686.00,2.642
685.00,2.781
684.00,2.913
683.00,3.041
682.00,3.157
681.00,3.265
680.00,3.353
679.00,3.410
678.00,3.454
677.00,3.479
676.00,3.491
675.00,3.506
674.00,3.504
673.00,3.499
672.00,3.498
671.00,3.493
670.00,3.497
669.00,3.497
668.00,3.495
667.00,3.496
666.00,3.484
665.00,3.480
664.00,3.487
663.00,3.489
662.00,3.491
661.00,3.484
660.00,3.486
659.00,3.496
658.00,3.495
657.00,3.492
656.00,3.501
655.00,3.511
654.00,3.509
653.00,3.509
652.00,3.516
651.00,3.521
650.00,3.525
649.00,3.522
648.00,3.519
647.00,3.520
646.00,3.523
645.00,3.525
644.00,3.520
643.00,3.518
642.00,3.513
641.00,3.513
640.00,3.514
639.00,3.510
638.00,3.514
637.00,3.507
636.00,3.497
635.00,3.491
634.00,3.493
633.00,3.487
632.00,3.484
631.00,3.481
630.00,3.479
629.00,3.474
628.00,3.475
627.00,3.473
626.00,3.472
625.00,3.476
624.00,3.479
623.00,3.471
622.00,3.473
621.00,3.482
620.00,3.487
619.00,3.483
618.00,3.490
617.00,3.496
616.00,3.497
615.00,3.501
614.00,3.503
613.00,3.499
612.00,3.499
611.00,3.502
610.00,3.493
609.00,3.489
608.00,3.493
607.00,3.486
606.00,3.483
605.00,3.479
604.00,3.474
603.00,3.475
602.00,3.472
601.00,3.473
600.00,3.473
599.00,3.474
598.00,3.478
597.00,3.480
596.00,3.483
595.00,3.488
594.00,3.494
593.00,3.499
592.00,3.507
591.00,3.507
590.00,3.515
589.00,3.518
588.00,3.513
587.00,3.506
586.00,3.502
585.00,3.496
584.00,3.485
583.00,3.473
582.00,3.464
581.00,3.455
580.00,3.449
579.00,3.437
578.00,3.431
577.00,3.430
576.00,3.425
575.00,3.421
574.00,3.425
573.00,3.430
572.00,3.433
571.00,3.444
570.00,3.457
569.00,3.464
568.00,3.476
567.00,3.486
566.00,3.495
565.00,3.496
564.00,3.495
563.00,3.487
562.00,3.471
561.00,3.462
560.00,3.440
559.00,3.420
558.00,3.404
557.00,3.390
556.00,3.376
555.00,3.363
554.00,3.359
553.00,3.360
552.00,3.360
551.00,3.369
550.00,3.378
549.00,3.391
548.00,3.410
547.00,3.429
546.00,3.444
545.00,3.457
544.00,3.464
543.00,3.470
542.00,3.466
541.00,3.457
540.00,3.448
539.00,3.434
538.00,3.426
537.00,3.427
536.00,3.424
535.00,3.425
534.00,3.423
533.00,3.421
532.00,3.413
531.00,3.416
530.00,3.415
529.00,3.414
528.00,3.421
527.00,3.416
526.00,3.410
525.00,3.409
524.00,3.404
523.00,3.405
522.00,3.407
521.00,3.410
520.00,3.410
519.00,3.404
518.00,3.400
517.00,3.393
516.00,3.390
515.00,3.394
514.00,3.393
513.00,3.392
512.00,3.383
511.00,3.377
510.00,3.375
509.00,3.367
508.00,3.351
507.00,3.333
506.00,3.311
505.00,3.281
504.00,3.248
503.00,3.208
502.00,3.164
501.00,3.110
500.00,3.047
499.00,2.987
498.00,2.916
497.00,2.843
496.00,2.766
495.00,2.687
494.00,2.613
493.00,2.537
492.00,2.463
491.00,2.390
490.00,2.324
489.00,2.259
488.00,2.197
487.00,2.138
486.00,2.083
485.00,2.032
484.00,1.985
483.00,1.942
482.00,1.904
481.00,1.873
480.00,1.845
479.00,1.821
478.00,1.803
477.00,1.790
476.00,1.784
475.00,1.786
474.00,1.794
473.00,1.811
472.00,1.837
471.00,1.873
470.00,1.922
469.00,1.982
468.00,2.057
467.00,2.147
466.00,2.248
465.00,2.358
464.00,2.484
463.00,2.623
462.00,2.767
461.00,2.908
460.00,3.038
459.00,3.149
458.00,3.234
457.00,3.292
456.00,3.328
455.00,3.345
454.00,3.350
453.00,3.352
452.00,3.353
451.00,3.351
450.00,3.355
449.00,3.355
448.00,3.356
447.00,3.356
446.00,3.357
445.00,3.358
444.00,3.355
443.00,3.353
442.00,3.353
441.00,3.361
440.00,3.363
439.00,3.360
438.00,3.359
437.00,3.357
436.00,3.357
435.00,3.353
434.00,3.353
433.00,3.357
432.00,3.358
431.00,3.356
430.00,3.356
429.00,3.356
428.00,3.357
427.00,3.349
426.00,3.349
425.00,3.351
424.00,3.347
423.00,3.346
422.00,3.350
421.00,3.350
420.00,3.347
419.00,3.344
418.00,3.348
417.00,3.353
416.00,3.363
415.00,3.363
414.00,3.364
413.00,3.368
412.00,3.362
411.00,3.359
410.00,3.359
409.00,3.363
408.00,3.364
407.00,3.364
406.00,3.359
405.00,3.362
404.00,3.359
403.00,3.363
402.00,3.362
401.00,3.359
400.00,3.358
