#  Energy (ev)    Absorption NP      Absorption MG
  9.5239900000e-01  4.4528014120e+14  2.9405874029e+12
  9.5811339400e-01  4.4683717282e+14  3.0272272865e+12
  9.6382778800e-01  4.4837886557e+14  3.1154228313e+12
  9.6954218200e-01  4.4990581976e+14  3.2054186346e+12
  9.7525657600e-01  4.5141804792e+14  3.2974990016e+12
  9.8097097000e-01  4.5291500512e+14  3.3919473512e+12
  9.8668536400e-01  4.5439571533e+14  3.4890050217e+12
  9.9239975800e-01  4.5585897313e+14  3.5888365905e+12
  9.9811415200e-01  4.5730358698e+14  3.6915078662e+12
  1.0038285460e+00  4.5872862264e+14  3.7969806613e+12
  1.0095429400e+00  4.6013360511e+14  3.9051256546e+12
  1.0152573340e+00  4.6151864396e+14  4.0157515524e+12
  1.0209717280e+00  4.6288445974e+14  4.1286459053e+12
  1.0266861220e+00  4.6423230610e+14  4.2436208099e+12
  1.0324005160e+00  4.6556379958e+14  4.3605557290e+12
  1.0381149100e+00  4.6688068568e+14  4.4794299761e+12
  1.0438293040e+00  4.6818458031e+14  4.6003390230e+12
  1.0495436980e+00  4.6947673094e+14  4.7234914454e+12
  1.0552580920e+00  4.7075783846e+14  4.8491865892e+12
  1.0609724860e+00  4.7202797098e+14  4.9777763690e+12
  1.0666868800e+00  4.7328658534e+14  5.1096174299e+12
  1.0724012740e+00  4.7453265373e+14  5.2450217104e+12
  1.0781156680e+00  4.7576487488e+14  5.3842139091e+12
  1.0838300620e+00  4.7698193453e+14  5.5273033660e+12
  1.0895444560e+00  4.7818277110e+14  5.6742755602e+12
  1.0952588500e+00  4.7936680104e+14  5.8250051641e+12
  1.1009732440e+00  4.8053406498e+14  5.9792889259e+12
  1.1066876380e+00  4.8168526860e+14  6.1368931924e+12
  1.1124020320e+00  4.8282171026e+14  6.2976082404e+12
  1.1181164260e+00  4.8394510658e+14  6.4613002301e+12
  1.1238308200e+00  4.8505734457e+14  6.6279517862e+12
  1.1295452140e+00  4.8616020227e+14  6.7976839621e+12
  1.1352596080e+00  4.8725508515e+14  6.9707553829e+12
  1.1409740020e+00  4.8834282378e+14  7.1475381900e+12
  1.1466883960e+00  4.8942356807e+14  7.3284744051e+12
  1.1524027900e+00  4.9049679720e+14  7.5140197825e+12
  1.1581171840e+00  4.9156144495e+14  7.7045845485e+12
  1.1638315780e+00  4.9261612022e+14  7.9004811800e+12
  1.1695459720e+00  4.9365938604e+14  8.1018884079e+12
  1.1752603660e+00  4.9469004994e+14  8.3088380568e+12
  1.1809747600e+00  4.9570741621e+14  8.5212275568e+12
  1.1866891540e+00  4.9671145634e+14  8.7388566168e+12
  1.1924035480e+00  4.9770286759e+14  8.9614823528e+12
  1.1981179420e+00  4.9868300834e+14  9.1888838527e+12
  1.2038323360e+00  4.9965372009e+14  9.4209253227e+12
  1.2095467300e+00  5.0061706503e+14  9.6576069422e+12
  1.2152611240e+00  5.0157502342e+14  9.8990944099e+12
  1.2209755180e+00  5.0252920197e+14  1.0145721615e+13
  1.2266899120e+00  5.0348060345e+14  1.0397965357e+13
  1.2324043060e+00  5.0442949758e+14  1.0656395819e+13
  1.2381187000e+00  5.0537541667e+14  1.0921610777e+13
  1.2438330940e+00  5.0631727813e+14  1.1194164493e+13
  1.2495474880e+00  5.0725361447e+14  1.1474503464e+13
  1.2552618820e+00  5.0818287271e+14  1.1762920281e+13
  1.2609762760e+00  5.0910373275e+14  1.2059534046e+13
  1.2666906700e+00  5.1001539047e+14  1.2364301421e+13
  1.2724050640e+00  5.1091775669e+14  1.2677057226e+13
  1.2781194580e+00  5.1181153680e+14  1.2997578392e+13
  1.2838338520e+00  5.1269817620e+14  1.3325660909e+13
  1.2895482460e+00  5.1357967903e+14  1.3661196925e+13
  1.2952626400e+00  5.1445832983e+14  1.4004238785e+13
  1.3009770340e+00  5.1533636461e+14  1.4355038745e+13
  1.3066914280e+00  5.1621564703e+14  1.4714056985e+13
  1.3124058220e+00  5.1709740519e+14  1.5081935794e+13
  1.3181202160e+00  5.1798207503e+14  1.5459443615e+13
  1.3238346100e+00  5.1886927844e+14  1.5847397867e+13
  1.3295490040e+00  5.1975794162e+14  1.6246579383e+13
  1.3352633980e+00  5.2064653518e+14  1.6657653062e+13
  1.3409777920e+00  5.2153339657e+14  1.7081108654e+13
  1.3466921860e+00  5.2241708046e+14  1.7517232502e+13
  1.3524065800e+00  5.2329667761e+14  1.7966116017e+13
  1.3581209740e+00  5.2417204708e+14  1.8427700527e+13
  1.3638353680e+00  5.2504392086e+14  1.8901851862e+13
  1.3695497620e+00  5.2591386121e+14  1.9388452750e+13
  1.3752641560e+00  5.2678407626e+14  1.9887497754e+13
  1.3809785500e+00  5.2765712320e+14  2.0399174603e+13
  1.3866929440e+00  5.2853554882e+14  2.0923917725e+13
  1.3924073380e+00  5.2942152779e+14  2.1462424176e+13
  1.3981217320e+00  5.3031656085e+14  2.2015628366e+13
  1.4038361260e+00  5.3122128545e+14  2.2584639012e+13
  1.4095505200e+00  5.3213543274e+14  2.3170648331e+13
  1.4152649140e+00  5.3305794043e+14  2.3774828554e+13
  1.4209793080e+00  5.3398720419e+14  2.4398233456e+13
  1.4266937020e+00  5.3492142640e+14  2.5041722259e+13
  1.4324080960e+00  5.3585900380e+14  2.5705919878e+13
  1.4381224900e+00  5.3679888786e+14  2.6391221674e+13
  1.4438368840e+00  5.3774085560e+14  2.7097843436e+13
  1.4495512780e+00  5.3868564293e+14  2.7825909582e+13
  1.4552656720e+00  5.3963491545e+14  2.8575565797e+13
  1.4609800660e+00  5.4059107916e+14  2.9347097754e+13
  1.4666944600e+00  5.4155696103e+14  3.0141035972e+13
  1.4724088540e+00  5.4253541210e+14  3.0958228747e+13
  1.4781232480e+00  5.4352889991e+14  3.1799870022e+13
  1.4838376420e+00  5.4453915995e+14  3.2667476527e+13
  1.4895520360e+00  5.4556696647e+14  3.3562817065e+13
  1.4952664300e+00  5.4661206374e+14  3.4487805229e+13
  1.5009808240e+00  5.4767327164e+14  3.5444373504e+13
  1.5066952180e+00  5.4874874978e+14  3.6434350487e+13
  1.5124096120e+00  5.4983637687e+14  3.7459363159e+13
  1.5181240060e+00  5.5093418128e+14  3.8520782521e+13
  1.5238384000e+00  5.5204074927e+14  3.9619724066e+13
  1.5295527940e+00  5.5315553939e+14  4.0757105481e+13
  1.5352671880e+00  5.5427904699e+14  4.1933754267e+13
  1.5409815820e+00  5.5541278732e+14  4.3150549130e+13
  1.5466959760e+00  5.5655909616e+14  4.4408572740e+13
  1.5524103700e+00  5.5772077870e+14  4.5709250809e+13
  1.5581247640e+00  5.5890066345e+14  4.7054454063e+13
  1.5638391580e+00  5.6010113556e+14  4.8446545402e+13
  1.5695535520e+00  5.6132372849e+14  4.9888363498e+13
  1.5752679460e+00  5.6256884413e+14  5.1383144876e+13
  1.5809823400e+00  5.6383565072e+14  5.2934397344e+13
  1.5866967340e+00  5.6512217765e+14  5.4545746580e+13
  1.5924111280e+00  5.6642559273e+14  5.6220783243e+13
  1.5981255220e+00  5.6774261549e+14  5.7962938932e+13
  1.6038399160e+00  5.6906999568e+14  5.9775415497e+13
  1.6095543100e+00  5.7040497334e+14  6.1661183976e+13
  1.6152687040e+00  5.7174563832e+14  6.3623058106e+13
  1.6209830980e+00  5.7309112266e+14  6.5663834795e+13
  1.6266974920e+00  5.7444158683e+14  6.7786482238e+13
  1.6324118860e+00  5.7579799543e+14  6.9994347540e+13
  1.6381262800e+00  5.7716171392e+14  7.2291351535e+13
  1.6438406740e+00  5.7853398953e+14  7.4682139652e+13
  1.6495550680e+00  5.7991540028e+14  7.7172164428e+13
  1.6552694620e+00  5.8130536307e+14  7.9767686445e+13
  1.6609838560e+00  5.8270178295e+14  8.2475694433e+13
  1.6666982500e+00  5.8410090247e+14  8.5303759727e+13
  1.6724126440e+00  5.8549737625e+14  8.8259852654e+13
  1.6781270380e+00  5.8688455671e+14  9.1352156551e+13
  1.6838414320e+00  5.8825493960e+14  9.4588917429e+13
  1.6895558260e+00  5.8960068858e+14  9.7978363101e+13
  1.6952702200e+00  5.9091414220e+14  1.0152871532e+14
  1.7009846140e+00  5.9218820698e+14  1.0524830376e+14
  1.7066990080e+00  5.9341655778e+14  1.0914577361e+14
  1.7124134020e+00  5.9459359759e+14  1.1323036253e+14
  1.7181277960e+00  5.9571416977e+14  1.1751220965e+14
  1.7238421900e+00  5.9677305761e+14  1.2200265289e+14
  1.7295565840e+00  5.9776434424e+14  1.2671447104e+14
  1.7352709780e+00  5.9868073079e+14  1.3166203565e+14
  1.7409853720e+00  5.9951292009e+14  1.3686135210e+14
  1.7466997660e+00  6.0024916355e+14  1.4232998866e+14
  1.7524141600e+00  6.0087504193e+14  1.4808691216e+14
  1.7581285540e+00  6.0137351098e+14  1.5415226715e+14
  1.7638429480e+00  6.0172519654e+14  1.6054714724e+14
  1.7695573420e+00  6.0190887912e+14  1.6729341177e+14
  1.7752717360e+00  6.0190207324e+14  1.7441359554e+14
  1.7809861300e+00  6.0168158768e+14  1.8193094503e+14
  1.7867005240e+00  6.0122395405e+14  1.8986959354e+14
  1.7924149180e+00  6.0050563246e+14  1.9825486201e+14
  1.7981293120e+00  5.9950294227e+14  2.0711364795e+14
  1.8038437060e+00  5.9819171537e+14  2.1647484394e+14
  1.8095581000e+00  5.9654672242e+14  2.2636971568e+14
  1.8152724940e+00  5.9454096863e+14  2.3683216783e+14
  1.8209868880e+00  5.9214498685e+14  2.4789883617e+14
  1.8267012820e+00  5.8932626734e+14  2.5960896514e+14
  1.8324156760e+00  5.8604895101e+14  2.7200405690e+14
  1.8381300700e+00  5.8227388021e+14  2.8512730750e+14
  1.8438444640e+00  5.7795905259e+14  2.9902287226e+14
  1.8495588580e+00  5.7306046753e+14  3.1373501936e+14
  1.8552732520e+00  5.6753330303e+14  3.2930723565e+14
  1.8609876460e+00  5.6133332212e+14  3.4578133745e+14
  1.8667020400e+00  5.5441839032e+14  3.6319661400e+14
  1.8724164340e+00  5.4674999431e+14  3.8158899387e+14
  1.8781308280e+00  5.3829468490e+14  4.0099018209e+14
  1.8838452220e+00  5.2902541990e+14  4.2142667549e+14
  1.8895596160e+00  5.1892284413e+14  4.4291853431e+14
  1.8952740100e+00  5.0797660148e+14  4.6547777821e+14
  1.9009884040e+00  4.9618681418e+14  4.8910629054e+14
  1.9067027980e+00  4.8356587492e+14  5.1379315922e+14
  1.9124171920e+00  4.7014067006e+14  5.3951145460e+14
  1.9181315860e+00  4.5595528534e+14  5.6621453941e+14
  1.9238459800e+00  4.4107414381e+14  5.9383211221e+14
  1.9295603740e+00  4.2558540114e+14  6.2226629186e+14
  1.9352747680e+00  4.0960429475e+14  6.5138813978e+14
  1.9409891620e+00  3.9327603015e+14  6.8103507492e+14
  1.9467035560e+00  3.7677771404e+14  7.1100965054e+14
  1.9524179500e+00  3.6031882609e+14  7.4108012220e+14
  1.9581323440e+00  3.4413977404e+14  7.7098314113e+14
  1.9638467380e+00  3.2850820181e+14  8.0042875917e+14
  1.9695611320e+00  3.1371291190e+14  8.2910774189e+14
  1.9752755260e+00  3.0005550375e+14  8.5670097233e+14
  1.9809899200e+00  2.8784009346e+14  8.8289051048e+14
  1.9867043140e+00  2.7736173410e+14  9.0737167696e+14
  1.9924187080e+00  2.6889436829e+14  9.2986537701e+14
  1.9981331020e+00  2.6267928249e+14  9.5012979275e+14
  2.0038474960e+00  2.5891507366e+14  9.6797056159e+14
  2.0095618900e+00  2.5775006989e+14  9.8324863329e+14
  2.0152762840e+00  2.5927796881e+14  9.9588515377e+14
  2.0209906780e+00  2.6353718471e+14  1.0058629488e+15
  2.0267050720e+00  2.7051405588e+14  1.0132244545e+15
  2.0324194660e+00  2.8014969398e+14  1.0180662372e+15
  2.0381338600e+00  2.9234989981e+14  1.0205305354e+15
  2.0438482540e+00  3.0699726654e+14  1.0207945070e+15
  2.0495626480e+00  3.2396437874e+14  1.0190580571e+15
  2.0552770420e+00  3.4312691840e+14  1.0155312258e+15
  2.0609914360e+00  3.6437552037e+14  1.0104221337e+15
  2.0667058300e+00  3.8762537396e+14  1.0039263982e+15
  2.0724202240e+00  4.1282282658e+14  9.9621877439e+14
  2.0781346180e+00  4.3994857667e+14  9.8744753803e+14
  2.0838490120e+00  4.6901740647e+14  9.7773186060e+14
  2.0895634060e+00  5.0007475754e+14  9.6716213716e+14
  2.0952778000e+00  5.3319075114e+14  9.5580296241e+14
  2.1009921940e+00  5.6845247055e+14  9.4369822542e+14
  2.1067065880e+00  6.0595543086e+14  9.3087763454e+14
  2.1124209820e+00  6.4579515834e+14  9.1736390311e+14
  2.1181353760e+00  6.8805969415e+14  9.0317982845e+14
  2.1238497700e+00  7.3282364776e+14  8.8835457469e+14
  2.1295641640e+00  7.8014418379e+14  8.7292861265e+14
  2.1352785580e+00  8.3005906812e+14  8.5695695644e+14
  2.1409929520e+00  8.8258665917e+14  8.4051054323e+14
  2.1467073460e+00  9.3772753593e+14  8.2367580702e+14
  2.1524217400e+00  9.9546732649e+14  8.0655267472e+14
  2.1581361340e+00  1.0557802446e+15  7.8925134894e+14
  2.1638505280e+00  1.1186328538e+15  7.7188832224e+14
  2.1695649220e+00  1.1839876422e+15  7.5458209087e+14
  2.1752793160e+00  1.2518060877e+15  7.3744900354e+14
  2.1809937100e+00  1.3220509891e+15  7.2059960277e+14
  2.1867081040e+00  1.3946879267e+15  7.0413570683e+14
  2.1924224980e+00  1.4696857628e+15  6.8814835587e+14
  2.1981368920e+00  1.5470161031e+15  6.7271662257e+14
  2.2038512860e+00  1.6266516192e+15  6.5790718270e+14
  2.2095656800e+00  1.7085630867e+15  6.4377446310e+14
  2.2152800740e+00  1.7927149510e+15  6.3036114329e+14
  2.2209944680e+00  1.8790592234e+15  6.1769878178e+14
  2.2267088620e+00  1.9675275450e+15  6.0580836757e+14
  2.2324232560e+00  2.0580213627e+15  5.9470065255e+14
  2.2381376500e+00  2.1504003464e+15  5.8437619259e+14
  2.2438520440e+00  2.2444694172e+15  5.7482510186e+14
  2.2495664380e+00  2.3399650506e+15  5.6602659610e+14
  2.2552808320e+00  2.4365418132e+15  5.5794845588e+14
  2.2609952260e+00  2.5337603531e+15  5.5054657508e+14
  2.2667096200e+00  2.6310782433e+15  5.4376476854e+14
  2.2724240140e+00  2.7278451306e+15  5.3753499699e+14
  2.2781384080e+00  2.8233035422e+15  5.3177813045e+14
